,scientific name,taxonomic_id,rank
Papaya leaf curl China betasatellite,Papaya leaf curl China betasatellite,447599,species
Mimosa yellow leaf curl virus satellite DNA beta,Mimosa yellow leaf curl virus satellite DNA beta,447600,species
Sida yellow vein Vietnam virus satellite DNA beta,Sida yellow vein Vietnam virus satellite DNA beta,447602,species
Erectites yellow mosaic virus satellite DNA beta,Erectites yellow mosaic virus satellite DNA beta,447603,species
Tomato yellow leaf curl Vietnam betasatellite,Tomato yellow leaf curl Vietnam betasatellite,447604,species
Lindernia anagallis yellow vein virus satellite DNA beta,Lindernia anagallis yellow vein virus satellite DNA beta,447605,species
Alternanthera yellow vein betasatellite,Alternanthera yellow vein betasatellite,447606,species
Enterobacteria phage T5-D1,Enterobacteria phage T5-D1,447796,species
Enterobacteria phage Felix 01-A2,Enterobacteria phage Felix 01-A2,447797,species
Enterobacteria phage Felix 01-B1,Enterobacteria phage Felix 01-B1,447798,species
Enterobacteria phage JS98-C3,Enterobacteria phage JS98-C3,447799,species
Enterobacteria phage T5-A1,Enterobacteria phage T5-A1,447800,species
Mythimna unipuncta nucleopolyhedrovirus,Mythimna unipuncta nucleopolyhedrovirus,447897,species
Geobacillus virus E2,Geobacillus virus E2,447909,species
Klebsiella phage PhiKPN,Klebsiella phage PhiKPN,449399,species
Kenaf leaf curl virus,Kenaf leaf curl virus,449400,species
Kenaf leaf curl disease-associated satellite DNA beta,Kenaf leaf curl disease-associated satellite DNA beta,449401,species
Cotesia vestalis bracovirus,Cotesia vestalis bracovirus,449720,species
Acetes erythraeus iridovirus,Acetes erythraeus iridovirus,449721,species
Enterobacteria phage KEP10,Enterobacteria phage KEP10,450214,species
Atlantic cod nodavirus,Atlantic cod nodavirus,450278,species
Sweet potato begomovirus,Sweet potato begomovirus,450633,species
Pineapple mealybug wilt-associated virus 5,Pineapple mealybug wilt-associated virus 5,451381,species
Enterobacteria phage phiEcoM-GJ1,Enterobacteria phage phiEcoM-GJ1,451705,species
Glyptapanteles flavicoxis bracovirus,Glyptapanteles flavicoxis bracovirus,451706,species
Enterococcus phage F4,Enterococcus phage F4,452469,species
Cotesia sesamiae bracovirus,Cotesia sesamiae bracovirus,452647,species
Allamanda leaf curl virus,Allamanda leaf curl virus,452758,species
Sweet potato virus 2,Sweet potato virus 2,453050,species
Tomato leaf curl Maharastra beta - [India:Pune:2004],Tomato leaf curl Maharastra beta - [India:Pune:2004],453451,species
Papaya leaf curl beta - [India:Chinthapalli:2005],Papaya leaf curl beta - [India:Chinthapalli:2005],453453,species
Playa de Oro hantavirus,Playa de Oro hantavirus,454121,species
Pipistrellus nathusii rhadinovirus 1,Pipistrellus nathusii rhadinovirus 1,454123,species
Okra leaf curl Mali virus satellite DNA beta,Okra leaf curl Mali virus satellite DNA beta,454128,species
Araujia mosaic virus,Araujia mosaic virus,454757,species
Chrysochromulina ericina virus,Chrysochromulina ericina virus,455364,species
Phaeocystis pouchetii virus,Phaeocystis pouchetii virus,455365,species
Pyramimonas orientalis virus,Pyramimonas orientalis virus,455367,species
uncultured phycodnavirus,uncultured phycodnavirus,455370,species
Spiroplasma virus SkV1CR23x,Spiroplasma virus SkV1CR23x,455649,species
Selenomonas phage M1,Selenomonas phage M1,456243,species
Butterfly flower mosaic virus,Butterfly flower mosaic virus,456390,species
Mus cervicolor cytomegalovirus 1,Mus cervicolor cytomegalovirus 1,456489,species
Mus cervicolor rhadinovirus 1,Mus cervicolor rhadinovirus 1,456502,species
Myodes glareolus cytomegalovirus 1,Myodes glareolus cytomegalovirus 1,456831,species
Myodes glareolus rhadinovirus 1,Myodes glareolus rhadinovirus 1,456832,species
Apodemus flavicollis cytomegalovirus 3,Apodemus flavicollis cytomegalovirus 3,456833,species
Fowl adenovirus DDO-2007,Fowl adenovirus DDO-2007,457007,species
Rhynchosia golden mosaic Yucatan virus,Rhynchosia golden mosaic Yucatan virus,457286,species
Phaius virus X,Phaius virus X,457382,species
uncultured T4-like phage,uncultured T4-like phage,457434,species
Malaysian Passiflora virus,Malaysian Passiflora virus,457561,species
Slow bee paralysis virus,Slow bee paralysis virus,458132,species
Novosphingobium phage N-AFCM0615-3,Novosphingobium phage N-AFCM0615-3,458420,species
Novosphingobium phage N-AFCa0615-4,Novosphingobium phage N-AFCa0615-4,458421,species
Novosphingobium phage N-AFCa0615-5,Novosphingobium phage N-AFCa0615-5,458422,species
Novosphingobium phage N-AFCa0615-6,Novosphingobium phage N-AFCa0615-6,458423,species
Novosphingobium phage N-AFNF0628-7,Novosphingobium phage N-AFNF0628-7,458424,species
Novosphingobium phage N-AFCF0628-8,Novosphingobium phage N-AFCF0628-8,458425,species
Novosphingobium phage N-AFCF0628-9,Novosphingobium phage N-AFCF0628-9,458426,species
Novosphingobium phage N-AFCa0628-10,Novosphingobium phage N-AFCa0628-10,458427,species
Novosphingobium phage N-AFCM0628-11,Novosphingobium phage N-AFCM0628-11,458428,species
Novosphingobium phage N-AFCa0628-12,Novosphingobium phage N-AFCa0628-12,458429,species
Novosphingobium phage N-AFNF0707-13,Novosphingobium phage N-AFNF0707-13,458430,species
Novosphingobium phage N-AFCF0707-14,Novosphingobium phage N-AFCF0707-14,458431,species
Novosphingobium phage N-AFCF0707-15,Novosphingobium phage N-AFCF0707-15,458432,species
Novosphingobium phage N-AFCF0707-16,Novosphingobium phage N-AFCF0707-16,458433,species
Novosphingobium phage N-AFCa0707-17,Novosphingobium phage N-AFCa0707-17,458434,species
Novosphingobium phage N-AFCa0707-18,Novosphingobium phage N-AFCa0707-18,458435,species
Novosphingobium phage N-AFNF0802-19,Novosphingobium phage N-AFNF0802-19,458436,species
Novosphingobium phage N-AFNF0802-20,Novosphingobium phage N-AFNF0802-20,458437,species
Novosphingobium phage N-AFCF0802-21,Novosphingobium phage N-AFCF0802-21,458438,species
Novosphingobium phage N-AFCF0802-22,Novosphingobium phage N-AFCF0802-22,458439,species
Novosphingobium phage N-AFCa0802-56,Novosphingobium phage N-AFCa0802-56,458440,species
Novosphingobium phage N-AFCa0802-23,Novosphingobium phage N-AFCa0802-23,458441,species
Novosphingobium phage N-AFCa0802-57,Novosphingobium phage N-AFCa0802-57,458442,species
Novosphingobium phage N-AFCa0802-24,Novosphingobium phage N-AFCa0802-24,458443,species
Novosphingobium phage N-AFNF0810-25,Novosphingobium phage N-AFNF0810-25,458444,species
Novosphingobium phage N-AFCF0810-26,Novosphingobium phage N-AFCF0810-26,458445,species
Novosphingobium phage N-AFCM0810-27,Novosphingobium phage N-AFCM0810-27,458446,species
Novosphingobium phage N-AFCM0810-28,Novosphingobium phage N-AFCM0810-28,458447,species
Novosphingobium phage N-AFCa0810-29,Novosphingobium phage N-AFCa0810-29,458448,species
Novosphingobium phage N-AFCa0810-30,Novosphingobium phage N-AFCa0810-30,458449,species
Novosphingobium phage N-AFNF0824-31,Novosphingobium phage N-AFNF0824-31,458450,species
Novosphingobium phage N-AFCF0824-32,Novosphingobium phage N-AFCF0824-32,458451,species
Novosphingobium phage N-AFCM0824-33,Novosphingobium phage N-AFCM0824-33,458452,species
Novosphingobium phage N-AFCa0824-34,Novosphingobium phage N-AFCa0824-34,458453,species
Novosphingobium phage N-AFCa0824-35,Novosphingobium phage N-AFCa0824-35,458454,species
Novosphingobium phage N-AFCa0824-36,Novosphingobium phage N-AFCa0824-36,458455,species
Novosphingobium phage N-AFCF0901-37,Novosphingobium phage N-AFCF0901-37,458456,species
Novosphingobium phage N-AFCM0901-40,Novosphingobium phage N-AFCM0901-40,458457,species
Novosphingobium phage N-AFCa0901-41,Novosphingobium phage N-AFCa0901-41,458458,species
Novosphingobium phage N-AFCa0901-42,Novosphingobium phage N-AFCa0901-42,458459,species
Novosphingobium phage N-AFNF0913-43,Novosphingobium phage N-AFNF0913-43,458460,species
Novosphingobium phage N-AFCM0913-47,Novosphingobium phage N-AFCM0913-47,458461,species
Novosphingobium phage N-AFCF0714-51,Novosphingobium phage N-AFCF0714-51,458462,species
Novosphingobium phage N-AFCM0714-52,Novosphingobium phage N-AFCM0714-52,458463,species
Novosphingobium phage N-AFNF0922-55,Novosphingobium phage N-AFNF0922-55,458464,species
Sphingomonas phage S-AFNF0615-61,Sphingomonas phage S-AFNF0615-61,458465,species
Sphingomonas phage S-AFCF0802-69,Sphingomonas phage S-AFCF0802-69,458466,species
Sphingomonas phage S-AFNF0810-70,Sphingomonas phage S-AFNF0810-70,458467,species
Sphingomonas phage S-AFCa0824-71,Sphingomonas phage S-AFCa0824-71,458468,species
Sphingomonas phage S-AFCa0901-72,Sphingomonas phage S-AFCa0901-72,458469,species
Novosphingobium phage N-AFCa0707-83,Novosphingobium phage N-AFCa0707-83,458470,species
Novosphingobium phage N-AFCa0714-84,Novosphingobium phage N-AFCa0714-84,458471,species
Novosphingobium phage N-AFCa0802-85,Novosphingobium phage N-AFCa0802-85,458472,species
Novosphingobium phage N-AFCM0802-86,Novosphingobium phage N-AFCM0802-86,458473,species
Novosphingobium phage N-AFCF0901-89,Novosphingobium phage N-AFCF0901-89,458474,species
Novosphingobium phage N-AFCa0901-90,Novosphingobium phage N-AFCa0901-90,458475,species
Novosphingobium phage N-AFCM0901-91,Novosphingobium phage N-AFCM0901-91,458476,species
Novosphingobium phage N-An-FWCa0913-92,Novosphingobium phage N-An-FWCa0913-92,458477,species
Bacillus phage 0305phi8-36,Bacillus phage 0305phi8-36,458639,species
Hantavirus CGRn8316,Hantavirus CGRn8316,458679,species
Hantavirus CGRn9415,Hantavirus CGRn9415,458680,species
Calicivirus bovine/B570,Calicivirus bovine/B570,458681,species
Scylla serrata reovirus SZ-2007,Scylla serrata reovirus SZ-2007,458682,species
Glycaspis brimblecombei secondary endosymbiont phage 1,Glycaspis brimblecombei secondary endosymbiont phage 1,459064,species
Sulfolobus spindle-shaped virus 4,Sulfolobus spindle-shaped virus 4,459290,species
Sulfolobus spindle-shaped virus 5,Sulfolobus spindle-shaped virus 5,459291,species
Anemone mosaic virus,Anemone mosaic virus,459305,species
Galtonia mosaic virus,Galtonia mosaic virus,459306,species
Muscari mosaic virus,Muscari mosaic virus,459307,species
Ornamental onion stripe mosaic virus,Ornamental onion stripe mosaic virus,459308,species
Ornithogalum virus 4,Ornithogalum virus 4,459309,species
Stenomesson mosaic virus,Stenomesson mosaic virus,459310,species
Jute mosaic virus,Jute mosaic virus,459511,species
Diplodia scrobiculata RNA virus 1,Diplodia scrobiculata RNA virus 1,459770,species
Streptococcus virus 858,Streptococcus virus 858,459845,species
Citrus viroid V,Citrus viroid V,459949,species
Swan circovirus,Swan circovirus,459957,species
Wheat eqlid mosaic virus,Wheat eqlid mosaic virus,460364,species
Camp Ripley virus,Camp Ripley virus,460676,species
Dichelobacter phage DinoHI,Dichelobacter phage DinoHI,460861,species
Tomato zonate spot virus,Tomato zonate spot virus,460926,species
Tobacco bushy top disease-associated RNA,Tobacco bushy top disease-associated RNA,460946,species
Rocky Mountain Bat Coronavirus 11,Rocky Mountain Bat Coronavirus 11,461304,species
Rocky Mountain Bat Coronavirus 27,Rocky Mountain Bat Coronavirus 27,461305,species
Rocky Mountain Bat Coronavirus 3,Rocky Mountain Bat Coronavirus 3,461306,species
Rocky Mountain Bat Coronavirus 48,Rocky Mountain Bat Coronavirus 48,461307,species
Rocky Mountain Bat Coronavirus 6,Rocky Mountain Bat Coronavirus 6,461308,species
Rocky Mountain Bat Coronavirus 65,Rocky Mountain Bat Coronavirus 65,461309,species
Plum headed parakeet adenovirus 1,Plum headed parakeet adenovirus 1,461346,species
Sulawesi tortoise adenovirus 1,Sulawesi tortoise adenovirus 1,461347,species
Synechococcus phage S-CBP42,Synechococcus phage S-CBP42,461711,species
Norovirus Hu/CHN360/BJ99,Norovirus Hu/CHN360/BJ99,462066,species
Hantavirus R11,Hantavirus R11,462216,species
Hantavirus R142,Hantavirus R142,462217,species
Hantavirus R150,Hantavirus R150,462218,species
Hantavirus R165,Hantavirus R165,462219,species
Hantavirus R167,Hantavirus R167,462220,species
Hantavirus R34,Hantavirus R34,462221,species
Macaca fascicularis rhadinovirus 2,Macaca fascicularis rhadinovirus 2,462296,species
Elephas maximus gammaherpesvirus 1,Elephas maximus gammaherpesvirus 1,462297,species
Sorex araneus gammaherpesvirus 1,Sorex araneus gammaherpesvirus 1,462298,species
Enterobacteria phage VT1-Sakai,Enterobacteria phage VT1-Sakai,462299,species
Pseudomonas virus Yua,Pseudomonas virus Yua,462590,species
Avipoxvirus isolate Hawaii,Avipoxvirus isolate Hawaii,462818,species
Chickpea chlorotic dwarf virus,Chickpea chlorotic dwarf virus,463360,species
Black raspberry cryptic virus,Black raspberry cryptic virus,463391,species
Black raspberry virus F,Black raspberry virus F,463392,species
Botrytis cinerea mitovirus 1 S,Botrytis cinerea mitovirus 1 S,463636,species
Rhinovirus C,Rhinovirus C,463676,species
Campylobacter phage CGC-2007,Campylobacter phage CGC-2007,464033,species
Duck hepatitis virus AP,Duck hepatitis virus AP,464094,species
Picornavirales,Picornavirales,464095,order
Australian bass nervous necrosis virus,Australian bass nervous necrosis virus,464937,species
Barramundi cod nervous necrosis virus,Barramundi cod nervous necrosis virus,464938,species
Barramundi nervous necrosis virus,Barramundi nervous necrosis virus,464939,species
Estuary cod nervous necrosis virus,Estuary cod nervous necrosis virus,464940,species
Sleepy cod nervous necrosis virus,Sleepy cod nervous necrosis virus,464941,species
Striped trumpeter nervous necrosis virus,Striped trumpeter nervous necrosis virus,464942,species
Middle Point orbivirus,Middle Point orbivirus,464979,species
Porcine picobirnavirus 1,Porcine picobirnavirus 1,464983,species
Porcine picobirnavirus 2,Porcine picobirnavirus 2,464984,species
Porcine picobirnavirus 3,Porcine picobirnavirus 3,464985,species
Porcine picobirnavirus 4,Porcine picobirnavirus 4,464986,species
Thermus virus P23-45,Thermus virus P23-45,466051,species
Thermus virus P74-26,Thermus virus P74-26,466052,species
Jemez Springs virus,Jemez Springs virus,466215,species
Ash River virus,Ash River virus,466216,species
Atlantic cod betanodavirus Ac06NorE,Atlantic cod betanodavirus Ac06NorE,466246,species
Atlantic cod betanodavirus Ac06NorPm,Atlantic cod betanodavirus Ac06NorPm,466247,species
Atlantic cod betanodavirus Ac06NorPmA,Atlantic cod betanodavirus Ac06NorPmA,466248,species
Atlantic cod betanodavirus Ac06NorPmB,Atlantic cod betanodavirus Ac06NorPmB,466249,species
Atlantic cod betanodavirus Ac06NorPp,Atlantic cod betanodavirus Ac06NorPp,466250,species
Atlantic cod betanodavirus Ac06NorPpA,Atlantic cod betanodavirus Ac06NorPpA,466251,species
Atlantic cod betanodavirus Ac06NorPpB,Atlantic cod betanodavirus Ac06NorPpB,466252,species
Atlantic cod betanodavirus Ac06NorT,Atlantic cod betanodavirus Ac06NorT,466253,species
Elk herpesvirus 1,Elk herpesvirus 1,467028,species
Cowpox-Vaccinia virus,Cowpox-Vaccinia virus,467146,species
Azospirillum phage Cd,Azospirillum phage Cd,467481,species
Papio hamadryas lymphocryptovirus 3,Papio hamadryas lymphocryptovirus 3,467770,species
Avipoxvirus isolate 1739/2006,Avipoxvirus isolate 1739/2006,468376,species
Avipoxvirus isolate 2634/1998,Avipoxvirus isolate 2634/1998,468377,species
Avipoxvirus isolate PM33/2007,Avipoxvirus isolate PM33/2007,468378,species
Avipoxvirus isolate PM34/2007,Avipoxvirus isolate PM34/2007,468379,species
Avipoxvirus isolate PM9/2007,Avipoxvirus isolate PM9/2007,468380,species
Plasmopara halstedii virus A,Plasmopara halstedii virus A,468928,species
Avipoxvirus blackcap/CZE/2007,Avipoxvirus blackcap/CZE/2007,469620,species
Thalassomonas phage BA3,Thalassomonas phage BA3,469660,species
Hantavirus Yakeshi-Mm-182,Hantavirus Yakeshi-Mm-182,469961,species
Hantavirus Yakeshi-Mm-31,Hantavirus Yakeshi-Mm-31,469962,species
Hantavirus Yakeshi-Mm-42,Hantavirus Yakeshi-Mm-42,469963,species
Hantavirus Yakeshi-Mm-59,Hantavirus Yakeshi-Mm-59,469964,species
Hantavirus Yakeshi-Mm-62,Hantavirus Yakeshi-Mm-62,469965,species
Hantavirus Yakeshi-Mm-795,Hantavirus Yakeshi-Mm-795,469966,species
Hantavirus Fusong-Mf-731,Hantavirus Fusong-Mf-731,470160,species
Tomato marchitez virus,Tomato marchitez virus,470166,species
Xanthomonas virus Xop411,Xanthomonas virus Xop411,470314,species
Staphylococcus phage SAP-2,Staphylococcus phage SAP-2,470865,species
Ammi majus latent virus,Ammi majus latent virus,471359,species
Peach chlorotic mottle virus,Peach chlorotic mottle virus,471498,species
Melon aphid-borne yellows virus,Melon aphid-borne yellows virus,471717,species
Tursiops truncatus parainfluenza virus 1,Tursiops truncatus parainfluenza virus 1,471864,species
Loggerhead genital-respiratory herpesvirus,Loggerhead genital-respiratory herpesvirus,471966,species
Loggerhead orocutaneous herpesvirus,Loggerhead orocutaneous herpesvirus,471967,species
Streptococcus phage NZ131.1,Streptococcus phage NZ131.1,472964,species
Streptococcus phage NZ131.2,Streptococcus phage NZ131.2,472965,species
Streptococcus phage NZ131.3,Streptococcus phage NZ131.3,472966,species
Opium poppy mosaic virus,Opium poppy mosaic virus,473784,species
Rose spring dwarf-associated virus,Rose spring dwarf-associated virus,474454,species
Lactococcus phage 1706,Lactococcus phage 1706,475178,species
Sugar beet mastrevirus SK-11,Sugar beet mastrevirus SK-11,475232,species
Cryptosporidium dsRNA virus,Cryptosporidium dsRNA virus,475235,species
Phlox virus B,Phlox virus B,475777,species
Nupapillomavirus,Nupapillomavirus,475861,genus
Pseudomonas phage PT5,Pseudomonas phage PT5,476523,species
Phikmvvirus,Phikmvvirus,477967,genus
Clerodendron yellow mosaic virus - [Barrackpore],Clerodendron yellow mosaic virus - [Barrackpore],478088,species
Ligustrum necrotic ringspot virus,Ligustrum necrotic ringspot virus,478550,species
Barkedji virus,Barkedji virus,478577,species
Tomato leaf curl New Delhi betasatellite,Tomato leaf curl New Delhi betasatellite,478812,species
Picornaviridae str. 06-739b,Picornaviridae str. 06-739b,478832,species
Picornaviridae str. tu304,Picornaviridae str. tu304,478833,species
Picornaviridae str. 06-740,Picornaviridae str. 06-740,478834,species
Picornaviridae str. tu306,Picornaviridae str. tu306,478835,species
Picornaviridae str. 06-763,Picornaviridae str. 06-763,478836,species
Picornaviridae str. tu403,Picornaviridae str. tu403,478837,species
Picornaviridae str. 06-445,Picornaviridae str. 06-445,478838,species
Picornaviridae str. tu68b,Picornaviridae str. tu68b,478839,species
Picornaviridae str. g2-10,Picornaviridae str. g2-10,478840,species
Picornaviridae str. g2-11,Picornaviridae str. g2-11,478841,species
Picornaviridae str. 06-20,Picornaviridae str. 06-20,478842,species
Picornaviridae str. g2-12,Picornaviridae str. g2-12,478843,species
Picornaviridae str. g2-25,Picornaviridae str. g2-25,478844,species
Picornaviridae str. g2-23,Picornaviridae str. g2-23,478845,species
Picornaviridae str. 06-339,Picornaviridae str. 06-339,478846,species
Picornaviridae str. g2-28,Picornaviridae str. g2-28,478847,species
Picornaviridae str. 06-447b,Picornaviridae str. 06-447b,478848,species
Picornaviridae str. 06-230,Picornaviridae str. 06-230,478849,species
Picornaviridae str. g2-4,Picornaviridae str. g2-4,478850,species
Picornaviridae str. 06-582,Picornaviridae str. 06-582,478851,species
Picornaviridae str. g2-3,Picornaviridae str. g2-3,478852,species
Picornaviridae str. 06-646,Picornaviridae str. 06-646,478853,species
Picornaviridae str. g2-8,Picornaviridae str. g2-8,478854,species
Picornaviridae str. 06-738,Picornaviridae str. 06-738,478855,species
Picornaviridae str. tu174,Picornaviridae str. tu174,478856,species
Picornaviridae str. 06-225,Picornaviridae str. 06-225,478857,species
Picornaviridae str. 06-231,Picornaviridae str. 06-231,478858,species
Bandicoot papillomatosis carcinomatosis virus type 1,Bandicoot papillomatosis carcinomatosis virus type 1,479058,species
Cocksfoot mild mosaic virus,Cocksfoot mild mosaic virus,479060,species
Amasya cherry disease-associated virus satellite RNAs,Amasya cherry disease-associated virus satellite RNAs,479727,species
Choristoneura occidentalis nucleopolyhedrovirus,Choristoneura occidentalis nucleopolyhedrovirus,480409,species
Simian T-cell lymphotropic virus 6,Simian T-cell lymphotropic virus 6,481147,species
Persimmon viroid,Persimmon viroid,481311,species
Leporid alphaherpesvirus 4,Leporid alphaherpesvirus 4,481315,species
Fig leaf mottle-associated virus 3,Fig leaf mottle-associated virus 3,482100,species
Bat coronavirus DR/2007,Bat coronavirus DR/2007,482176,species
Dandenong virus,Dandenong virus,483046,species
Haemophilus phage SuMu,Haemophilus phage SuMu,483266,species
Glory lily mosaic virus,Glory lily mosaic virus,483269,species
Alternaria alternata virus 1,Alternaria alternata virus 1,483537,species
Bacillus phage bg1,Bacillus phage bg1,483783,species
Bacillus phage bg2,Bacillus phage bg2,483784,species
Bacillus phage bg3,Bacillus phage bg3,483785,species
Pseudomonas virus LUZ24,Pseudomonas virus LUZ24,484895,species
Pseudomonas phage LUZ19,Pseudomonas phage LUZ19,484896,species
Capra hircus papillomavirus type 2,Capra hircus papillomavirus type 2,485388,species
Pinhal virus,Pinhal virus,485722,species
Melon severe mosaic tospovirus,Melon severe mosaic tospovirus,485724,species
Simian T-cell lymphotropic virus 5,Simian T-cell lymphotropic virus 5,486178,species
Nounane virus,Nounane virus,486494,species
Tai forest virus B31,Tai forest virus B31,486495,species
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta,Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta,486898,species
Phlomis mottle virus,Phlomis mottle virus,487095,species
Staphylococcus virus phiMR25,Staphylococcus virus phiMR25,487152,species
Brugmansia suaveolens mottle virus,Brugmansia suaveolens mottle virus,487155,species
Aspergillus mycovirus 178,Aspergillus mycovirus 178,487210,species
Aspergillus mycovirus 1816,Aspergillus mycovirus 1816,487211,species
Aspergillus mycovirus 341,Aspergillus mycovirus 341,487212,species
Malachra yellow vein mosaic virus - India,Malachra yellow vein mosaic virus - India,488214,species
Malachra yellow vein mosaic virus-associated satellite DNA beta,Malachra yellow vein mosaic virus-associated satellite DNA beta,488255,species
Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf nucleorhabdovirus,488317,species
Tobacco leaf curl Philippines virus,Tobacco leaf curl Philippines virus,488507,species
Ostreococcus virus OsV5,Ostreococcus virus OsV5,489089,species
Burkholderia phage Bups phi1,Burkholderia phage Bups phi1,489258,species
Psittacine orthoreovirus AGPReo1983,Psittacine orthoreovirus AGPReo1983,489824,species
Enterobacteria phage WA13 sensu lato,Enterobacteria phage WA13 sensu lato,489828,species
Helicoverpa armigera granulovirus,Helicoverpa armigera granulovirus,489830,species
Escherichia virus phiEco32,Escherichia virus phiEco32,490103,species
Orgyia leucostigma nucleopolyhedrovirus,Orgyia leucostigma nucleopolyhedrovirus,490711,species
Murine xenotropic virus NZB,Murine xenotropic virus NZB,490715,species
Narcissus mottling-associated virus,Narcissus mottling-associated virus,490877,species
Narcissus white stripe-associated virus,Narcissus white stripe-associated virus,490878,species
Ambrosia asymptomatic virus 2 UKM-2007,Ambrosia asymptomatic virus 2 UKM-2007,490892,species
Ambrosia asymptomatic virus 3 UKM-2007,Ambrosia asymptomatic virus 3 UKM-2007,490893,species
Ambrosia asymptomatic virus 4 UKM-2007,Ambrosia asymptomatic virus 4 UKM-2007,490894,species
Silicibacter phage DSS3phi2,Silicibacter phage DSS3phi2,490912,species
Sulfitobacter phage EE36phi1,Sulfitobacter phage EE36phi1,490913,species
Escherichia virus EPS7,Escherichia virus EPS7,491003,species
Abalone shriveling syndrome-associated virus,Abalone shriveling syndrome-associated virus,491893,species
Human calicivirus Hu/SaV4895/2001/Bra,Human calicivirus Hu/SaV4895/2001/Bra,491924,species
Rose cryptic virus 1,Rose cryptic virus 1,492502,species
Enterovirus 103,Enterovirus 103,492576,species
Vibrio virus Kappa,Vibrio virus Kappa,493906,species
Lactococcus virus Bibb29,Lactococcus virus Bibb29,494269,species
Soybean mottle mosaic virus,Soybean mottle mosaic virus,495010,species
Jute yellow mosaic virus,Jute yellow mosaic virus,495301,species
Cucurbita pepo begomovirus - Gorakhpur,Cucurbita pepo begomovirus - Gorakhpur,495302,species
Gladiolus potyvirus - Pantnagar,Gladiolus potyvirus - Pantnagar,495309,species
Tuberose potyvirus - Pantnagar,Tuberose potyvirus - Pantnagar,495310,species
Pseudomonas phage PT2,Pseudomonas phage PT2,496396,species
Hantavirus sdp1,Hantavirus sdp1,496406,species
Hantavirus sdp22,Hantavirus sdp22,496407,species
Hantavirus sdp3,Hantavirus sdp3,496408,species
Hantavirus sdp37,Hantavirus sdp37,496409,species
Eragrostis streak virus,Eragrostis streak virus,496807,species
Lactobacillus phage Lrm1,Lactobacillus phage Lrm1,496874,species
Chaetoceros tenuissimus RNA virus 01,Chaetoceros tenuissimus RNA virus 01,497136,species
Hantavirus AC210py,Hantavirus AC210py,497342,species
Hantavirus Case 1,Hantavirus Case 1,497343,species
Hantavirus Case Itapua,Hantavirus Case Itapua,497344,species
Pineapple mealybug wilt-associated virus 4,Pineapple mealybug wilt-associated virus 4,497390,species
Chickpea chlorotic dwarf Sudan virus,Chickpea chlorotic dwarf Sudan virus,497488,species
Oat dwarf virus,Oat dwarf virus,497863,species
Cardiospermum yellow leaf curl betasatellite,Cardiospermum yellow leaf curl betasatellite,497865,species
Hantavirus sdp2 YXL-2008,Hantavirus sdp2 YXL-2008,497915,species
Bat coronavirus M.das/Germany/D2.2/2007,Bat coronavirus M.das/Germany/D2.2/2007,497929,species
Bat coronavirus M.das/Germany/D3.3/2007,Bat coronavirus M.das/Germany/D3.3/2007,497930,species
Bat coronavirus M.das/Germany/D3.4/2007,Bat coronavirus M.das/Germany/D3.4/2007,497931,species
Bat coronavirus M.das/Germany/D3.15/2007,Bat coronavirus M.das/Germany/D3.15/2007,497932,species
Bat coronavirus M.das/Germany/D3.5/2007,Bat coronavirus M.das/Germany/D3.5/2007,497933,species
Bat coronavirus M.das/Germany/D3.6/2007,Bat coronavirus M.das/Germany/D3.6/2007,497934,species
Bat coronavirus M.das/Germany/D3.28/2007,Bat coronavirus M.das/Germany/D3.28/2007,497935,species
Bat coronavirus M.das/Germany/D3.10/2007,Bat coronavirus M.das/Germany/D3.10/2007,497936,species
Bat coronavirus M.das/Germany/D5.17/2007,Bat coronavirus M.das/Germany/D5.17/2007,497937,species
Bat coronavirus M.das/Germany/D3.33/2007,Bat coronavirus M.das/Germany/D3.33/2007,497938,species
Bat coronavirus M.das/Germany/D3.38/2007,Bat coronavirus M.das/Germany/D3.38/2007,497939,species
Bat coronavirus P.nat/Germany/D5.16/2007,Bat coronavirus P.nat/Germany/D5.16/2007,497940,species
Bat coronavirus M.bec/Germany/D6.6/2007,Bat coronavirus M.bec/Germany/D6.6/2007,497941,species
Bat coronavirus M.dau/Germany/D7.3/2007,Bat coronavirus M.dau/Germany/D7.3/2007,497942,species
Bat coronavirus P.pyg/Germany/D5.70/2007,Bat coronavirus P.pyg/Germany/D5.70/2007,497943,species
Bat coronavirus P.pyg/Germany/D5.71/2007,Bat coronavirus P.pyg/Germany/D5.71/2007,497944,species
Bat coronavirus P.nat/Germany/D5.73/2007,Bat coronavirus P.nat/Germany/D5.73/2007,497945,species
Bat coronavirus P.pyg/Germany/D5.85/2007,Bat coronavirus P.pyg/Germany/D5.85/2007,497946,species
Bat coronavirus M.dau/Germany/D8.46/2007,Bat coronavirus M.dau/Germany/D8.46/2007,497947,species
Bat coronavirus M.dau/Germany/D8.45/2007,Bat coronavirus M.dau/Germany/D8.45/2007,497948,species
Bat coronavirus M.dau/Germany/D8.42/2007,Bat coronavirus M.dau/Germany/D8.42/2007,497949,species
Bat coronavirus M.dau/Germany/D8.38/2007,Bat coronavirus M.dau/Germany/D8.38/2007,497950,species
