,scientific_name,counts
6785,Enterobacteria phage M1,0
6786,Enterobacteria phage MV 72,0
6787,Enterobacteria phage MV BS,0
6788,Enterobacteria phage MV SS,0
6789,Enterobacteria phage MV12,0
6790,Enterobacteria phage MV13,0
6791,Enterobacteria phage MV14,0
6792,Enterobacteria phage MV9,0
6793,Enterobacteria phage Mi,0
6794,Enterobacteria phage Nil2,0
6795,Enterobacteria phage Nil3,0
6796,Enterobacteria phage O157-292,0
6797,Enterobacteria phage O157-310,0
6798,Enterobacteria phage O157-330,0
6799,Enterobacteria phage O157-379,0
6800,Enterobacteria phage O157-469,0
6801,Enterobacteria phage O157-572,0
6802,Enterobacteria phage O276,0
6803,Enterobacteria phage Ox2,0
6804,Enterobacteria phage P-EibC,0
6805,Enterobacteria phage P-EibD,0
6806,Enterobacteria phage P-EibE,0
6807,Enterobacteria phage P4,5
6808,Enterobacteria phage P88,2
6809,Enterobacteria phage PA-2,0
6810,Enterobacteria phage PP01,0
6811,Enterobacteria phage PST,0
6812,Enterobacteria phage Phi75,0
6813,Enterobacteria phage Pol,0
6814,Enterobacteria phage RB1,0
6815,Enterobacteria phage RB15,0
6816,Enterobacteria phage RB18,0
6817,Enterobacteria phage RB2,0
6818,Enterobacteria phage RB21,0
6819,Enterobacteria phage RB23,0
6820,Enterobacteria phage RB25,0
6821,Enterobacteria phage RB26,0
6822,Enterobacteria phage RB27,2
6823,Enterobacteria phage RB30,0
6824,Enterobacteria phage RB33,2
6825,Enterobacteria phage RB4,0
6826,Enterobacteria phage RB42,0
6827,Enterobacteria phage RB51,5
6828,Enterobacteria phage RB61,0
6829,Enterobacteria phage RB62,0
6830,Enterobacteria phage RB68,2
6831,Enterobacteria phage RB70,0
6832,Enterobacteria phage RB8,0
6833,Enterobacteria phage SC1,0
6834,Enterobacteria phage SC370,0
6835,Enterobacteria phage SCI,0
6836,Enterobacteria phage ST104,5
6837,Enterobacteria phage ST2-8624,0
6838,Enterobacteria phage ST286-24,0
6839,Enterobacteria phage SV76,0
6840,Enterobacteria phage Sf101,2
6841,Enterobacteria phage SfI,2
6842,Enterobacteria phage SfV,5
6843,Enterobacteria phage T2,0
6844,Enterobacteria phage T2H,0
6845,Enterobacteria phage T2L,0
6846,Enterobacteria phage T3,5
6847,Enterobacteria phage T4 sensu lato,0
6848,Enterobacteria phage T5-A1,0
6849,Enterobacteria phage T5-D1,0
6850,Enterobacteria phage T6,0
6851,Enterobacteria phage T7M,2
6852,Enterobacteria phage TuIa,0
6853,Enterobacteria phage TuIb,0
6854,Enterobacteria phage U3,0
6855,Enterobacteria phage U4,0
6856,Enterobacteria phage U5,0
6857,Enterobacteria phage UAB_Phi20,2
6858,Enterobacteria phage UAB_Phi78,2
6859,Enterobacteria phage V11,0
6860,Enterobacteria phage VT1-Sakai,0
6861,Enterobacteria phage VT2-Sakai,2
6862,Enterobacteria phage VT2phi_272,2
6863,Enterobacteria phage VTB,0
6864,Enterobacteria phage VTB178,0
6865,Enterobacteria phage VTB323,0
6866,Enterobacteria phage VTB324,0
6867,Enterobacteria phage VTB46,0
6868,Enterobacteria phage VTB60,0
6869,Enterobacteria phage VTB75,0
6870,Enterobacteria phage VTB91,0
6871,Enterobacteria phage VTCCBP1,0
6872,Enterobacteria phage W31,0
6873,Enterobacteria phage WA13 sensu lato,3
6874,Enterobacteria phage XTG1,0
6875,Enterobacteria phage YYZ-2008,2
6876,Enterobacteria phage ZJ/2,0
6877,Enterobacteria phage cdtI,5
6878,Enterobacteria phage fd,2
6879,Enterobacteria phage mEp021,0
6880,Enterobacteria phage mEp043 c-1,2
6881,Enterobacteria phage mEp234,0
6882,Enterobacteria phage mEp235,5
6883,Enterobacteria phage mEp237,5
6884,Enterobacteria phage mEp332,0
6885,Enterobacteria phage mEp460,5
6886,Enterobacteria phage nvv1,0
6887,Enterobacteria phage pEcSw,0
6888,Enterobacteria phage phi-C3208,0
6889,Enterobacteria phage phi21,0
6890,Enterobacteria phage phi24B,0
6891,Enterobacteria phage phi50,0
6892,Enterobacteria phage phi80,2
6893,Enterobacteria phage phi92,2
6894,Enterobacteria phage phiEcoM-GJ1,2
6895,Enterobacteria phage phiP27,5
6896,Enterobacteria phage phiR73,0
6897,Enterobacteria phage phiW39,0
6898,Enterobacteria phage phiX174 sensu lato,1
6899,Enterobacteria phage vB_EcoM-VR20,0
6900,Enterobacteria phage vB_EcoM-VR5,0
6901,Enterobacteria phage vB_EcoM_IME281,0
6902,Enterobacteria phage vB_EcoM_IME338,0
6903,Enterobacteria phage vB_EcoM_IME339,0
6904,Enterobacteria phage vB_EcoM_IME340,0
6905,Enterobacteria phage vB_EcoM_IME341,0
6906,Enterobacteria phage vB_EcoP_ACG-C91,2
6907,Enterobacteria phage vB_EcoP_IME390,0
6908,Enterobacteria phage vB_EcoS_IME167,0
6909,Enterobacteria phage vB_EcoS_IME18,0
6910,Enterobacteria phage vB_EcoS_IME347,0
6911,Enterobacteria phage vB_EcoS_IME542,0
6912,Enterobacteria phage vB_EcoS_NBD2,2
6913,Enterobacteria phage vB_KleM-RaK2,2
6914,Enterobacteriaceae phage S-394,0
6915,Enterobacterial phage P-EibA,0
6916,Enterobacterial phage mEp213,5
6917,Enterobacterial phage mEp390,5
6918,Enterococcal phage FC1,0
6919,Enterococcus phage 156,0
6920,Enterococcus phage BE2/ARG/2005,0
6921,Enterococcus phage EF-P10,0
6922,Enterococcus phage EF-P29,0
6923,Enterococcus phage EF1,0
6924,Enterococcus phage EF5,0
6925,Enterococcus phage EF62phi,2
6926,Enterococcus phage EFAP-1,2
6927,Enterococcus phage EFC-1,2
6928,Enterococcus phage EFP01,0
6929,Enterococcus phage EFRM31,5
6930,Enterococcus phage EfV12-phi1,0
6931,Enterococcus phage EfsSzw-1,0
6932,Enterococcus phage EfsWh-1,0
6933,Enterococcus phage Entf1,0
6934,Enterococcus phage F4,0
6935,Enterococcus phage IME-EFm1,2
6936,Enterococcus phage IME-EFm5,2
6937,Enterococcus phage Idefix,0
6938,Enterococcus phage LY0323,0
6939,Enterococcus phage MSF1,0
6940,Enterococcus phage Nonaheksakonda,0
6941,Enterococcus phage Q69,0
6942,Enterococcus phage TSR-2016a,0
6943,Enterococcus phage UC1ENC,0
6944,Enterococcus phage VFW,0
6945,Enterococcus phage VPE25,0
6946,Enterococcus phage phiEF17H,0
6947,Enterococcus phage phiEF24C,5
6948,Enterococcus phage phiEF24C-P2,2
6949,Enterococcus phage phiEf11,5
6950,Enterococcus phage phiFC1,0
6951,Enterococcus phage phiFL4A,5
6952,Enterococcus phage phiM1EF22,0
6953,Enterococcus phage phiNASRA1,0
6954,Enterococcus phage vB_EfaM_Ef2.1,0
6955,Enterococcus phage vB_EfaM_Ef2.3,0
6956,Enterococcus phage vB_EfaP_Ef6.2,0
6957,Enterococcus phage vB_EfaP_Ef6.3,0
6958,Enterococcus phage vB_EfaP_Ef7.2,0
6959,Enterococcus phage vB_EfaP_Ef7.3,0
6960,Enterococcus phage vB_EfaP_Ef7.4,0
6961,Enterococcus phage vB_EfaP_Efmus1,0
6962,Enterococcus phage vB_EfaP_Efmus2,0
6963,Enterococcus phage vB_EfaP_Efmus3,0
6964,Enterococcus phage vB_EfaP_Efmus4,0
6965,Enterococcus phage vB_EfaP_IME195,2
6966,Enterococcus phage vB_EfaP_IME199,0
6967,Enterococcus phage vB_EfaP_Zip,0
6968,Enterococcus phage vB_EfaS_AL3,0
6969,Enterococcus phage vB_EfaS_Ef2.2,0
6970,Enterococcus phage vB_EfaS_Ef5.1,0
6971,Enterococcus phage vB_EfaS_Ef5.2,0
6972,Enterococcus phage vB_EfaS_Ef5.3,0
6973,Enterococcus phage vB_EfaS_Ef5.4,0
6974,Enterococcus phage vB_EfaS_Ef6.1,0
6975,Enterococcus phage vB_EfaS_Ef6.4,0
6976,Enterococcus phage vB_EfaS_Ef7.1,0
6977,Enterococcus phage vB_EfaS_IME197,2
6978,Enterococcus phage vB_EfaS_IME198,2
6979,Enterococcus phage vB_EfaS_LM99,0
6980,Enterococcus phage vB_EfaS_Max,0
6981,Enterococcus phage vB_EfaS_PHB08,0
6982,Enterococcus phage vB_Efae230P-4,2
6983,Enterococcus phage vB_OCPT_Ben,0
6984,Enterococcus virus AL2,0
6985,Enterococcus virus AUEF3,0
6986,Enterococcus virus BC611,0
6987,Enterococcus virus ECP3,0
6988,Enterococcus virus EF3,0
6989,Enterococcus virus EF4,0
6990,Enterococcus virus EFDG1,0
6991,Enterococcus virus EFLK1,0
6992,Enterococcus virus EcZZ2,0
6993,Enterococcus virus EfaCPT1,0
6994,Enterococcus virus FL1,0
6995,Enterococcus virus FL2,0
6996,Enterococcus virus FL3,0
6997,Enterococcus virus IME196,0
6998,Enterococcus virus IMEEF1,0
6999,Enterococcus virus LY0322,0
7000,Enterococcus virus PMBT2,0
7001,Enterococcus virus SANTOR1,0
7002,Enterococcus virus SAP6,0
7003,Enterococcus virus VD13,0
7004,Enterococcus virus phiSHEF2,0
7005,Enterococcus virus phiSHEF4,0
7006,Enterococcus virus phiSHEF5,0
7007,Enterovibrio phage 1.052.A._10N.286.46.C3,0
7008,Enterovibrio phage 1.055.O._10N.286.55.E9,0
7009,Enterovibrio phage 1.070.O._10N.261.45.B2,0
7010,Enterovibrio phage 1.077.O._10N.261.45.A10,0
7011,Enterovibrio phage 1.084.O._10N.261.49.F5,0
7012,Enterovibrio phage 1.101.O._10N.261.45.C6,0
7013,Enterovibrio phage 1.121.O._10N.286.46.C4,0
7014,Enterovibrio phage 1.123.O._10N.286.48.F3,0
7015,Enterovirus,0
7016,Enterovirus 103,0
7017,Enterovirus 122,0
7018,Enterovirus 123,0
7019,Enterovirus A,3
7020,Enterovirus AN12,2
7021,Enterovirus B,3
7022,Enterovirus C,3
7023,Enterovirus C151_oct11_cons,0
7024,Enterovirus D,3
7025,Enterovirus E,2
7026,Enterovirus EK5896,0
7027,Enterovirus F,2
7028,Enterovirus G,2
7029,Enterovirus H,2
7030,Enterovirus I,0
7031,Enterovirus J,2
7032,Enterovirus JAA-2013,0
7033,Enterovirus K,0
7034,Enterovirus L,0
7035,Enterovirus LaN/98/CH,0
7036,Enterovirus MA5709,0
7037,Enterovirus MB6123,0
7038,Enterovirus MB6128,0
7039,Enterovirus MB6165,0
7040,Enterovirus MB6196,0
7041,Enterovirus MB6201,0
7042,Enterovirus MB6234,0
7043,Enterovirus MB6244,0
7044,Enterovirus MB6249,0
7045,Enterovirus MB6250,0
7046,Enterovirus MB6254,0
7047,Enterovirus MB6384,0
7048,Enterovirus MB6406,0
7049,Enterovirus goat/JL14,2
7050,Enterovirus rhesus monkey/FFH-2008/China,0
7051,Enterovirus sp.,2
7052,Entoleuca hypovirus 1,0
7053,Entoleuca megabirnavirus 1,0
7054,Entoleuca mycovirus 1,0
7055,Entoleuca mycovirus 2,0
7056,Entoleuca partitivirus 1,0
7057,Entoleuca partitivirus 2,0
7058,Entomobirnavirus,0
7059,Entomophthora muscae mitovirus 1,0
7060,Entomophthora muscae mitovirus 2,0
7061,Entomophthora muscae mitovirus 3,0
7062,Entomophthora muscae mitovirus 4,0
7063,Entomophthora muscae mitovirus 5,0
7064,Entomophthora muscae mitovirus 6,0
7065,Entomophthora muscae mitovirus 7,0
7066,Entomophthora muscae mitovirus 8,0
7067,Entomopoxvirinae,0
7068,Enzootic nasal tumour virus of goats,4
7069,Eothenomys miletus hantavirus LX17,0
7070,Eothenomys miletus hantavirus LX43,0
7071,Ephemerovirus,0
7072,Epichloe festucae virus 1,2
7073,Epicoccum nigrum mitovirus 1,0
7074,Epinephelus aeneus encephalitis virus,0
7075,Epinephelus aeneus nervous necrosis virus,0
7076,Epinephelus areolatus ranavirus,0
7077,Epinephelus awoara ranavirus,0
7078,Epinephelus fuscoguttatus iridovirus,0
7079,Epinephelus quoyanus iridovirus,0
7080,Epinephelus septemfasciatus nervous necrosis virus,0
7081,Epinotia aporema granulovirus,6
7082,Epinotia granitalis nucleopolyhedrovirus,0
7083,Epiphyas postvittana nucleopolyhedrovirus,3
7084,Epiphyllum badnavirus 1,0
7085,Epirus cherry virus,6
7086,Epizootic haematopoietic necrosis virus,2
7087,Epizootic hemorrhagic disease virus,4
7088,Epsilonpapillomavirus 1,6
7089,Eptesicus fuscus gammaherpesvirus,2
7090,Eptesicus isabellinus papillomavirus,0
7091,Eptesicus isabellinus rhabdovirus 1,0
7092,Eptesicus isabellinus rhabdovirus 2,0
7093,Eptesicus isabellinus rhabdovirus 3,0
7094,Eptesicus isabellinus rhabdovirus 4,0
7095,Eptesicus isabellinus rhabdovirus 5,0
7096,Eptesipox virus,2
7097,Equarterivirinae,0
7098,Equartevirus,0
7099,Equid alphaherpesvirus 1,2
7100,Equid alphaherpesvirus 3,2
7101,Equid alphaherpesvirus 4,2
7102,Equid alphaherpesvirus 8,2
7103,Equid alphaherpesvirus 9,2
7104,Equid gammaherpesvirus 2,2
7105,Equid gammaherpesvirus 5,2
7106,Equine encephalosis virus,2
7107,Equine faecal phage,0
7108,Equine foamy virus,6
7109,Equine hepacivirus,0
7110,Equine herpesvirus Gazella/6755/NLD/2009,0
7111,Equine infectious anemia virus,5
7112,Equine mastadenovirus A,0
7113,Equine mastadenovirus B,0
7114,Equine papillomavirus,0
7115,Equine parapoxvirus,0
7116,Equine parvovirus H,2
7117,Equine polyomavirus,2
7118,Equine rhinitis A virus,7
7119,Equine torovirus,0
7120,Equus asinus papillomavirus 2,0
7121,Equus caballus papillomavirus IV,0
7122,Equus caballus polyomavirus 1,2
7123,Eragrostis curvula streak virus,2
7124,Eragrostis minor streak virus,3
7125,Eragrostis streak virus,2
7126,Eragrovirus,0
7127,Erannis defoliaria nucleopolyhedrovirus,0
7128,Erbovirus,0
7129,Erbovirus A,0
7130,Erectites yellow mosaic virus,4
7131,Erectites yellow mosaic virus satellite DNA beta,4
7132,Erethizon dorsatum papillomavirus 2,2
7133,Eridge virus,0
7134,Erigeron breviscapus amalgavirus 1,2
7135,Erigeron breviscapus amalgavirus 2,2
7136,Erigeron breviscapus mitovirus 1,0
7137,Erinnyis ello granulovirus,2
7138,Eriocheir sinensis reovirus,0
7139,Errantivirus,0
7140,Erskinevirus,0
7141,Erwinia amylovora phage phi-EaH2A,0
7142,Erwinia amylovora phage phi-EaH5K,0
7143,Erwinia phage Cronus,0
7144,Erwinia phage Derbicus,0
7145,Erwinia phage ENT90,5
7146,Erwinia phage Ea4,0
7147,Erwinia phage Ea7,0
7148,Erwinia phage EtG,0
7149,Erwinia phage FE44,5
7150,Erwinia phage Faunus,0
7151,Erwinia phage GR-2012,0
7152,Erwinia phage LS-2018a,0
7153,Erwinia phage PEa1,0
7154,Erwinia phage PEp14,5
7155,Erwinia phage Pavtok,0
7156,Erwinia phage QceA2,0
7157,Erwinia phage QceB10,0
7158,Erwinia phage Rebecca,0
7159,Erwinia phage SunLIRen,0
7160,Erwinia phage Wellington,0
7161,Erwinia phage pEp_SNUABM_08,0
7162,Erwinia phage phi-Ea1h,0
7163,Erwinia phage phiAT1,0
7164,Erwinia phage phiEa100,5
7165,Erwinia phage phiEa116,0
7166,Erwinia phage phiEa1H,2
7167,Erwinia phage phiEaP-8,0
7168,Erwinia phage phiEt88,5
7169,Erwinia phage vB_EamM-Bue1,0
7170,Erwinia phage vB_EamM-Y2,2
7171,Erwinia phage vB_EamM_Alexandra,0
7172,Erwinia phage vB_EamM_Caitlin,2
7173,Erwinia phage vB_EamM_ChrisDB,2
7174,Erwinia phage vB_EamM_EarlPhillipIV,2
7175,Erwinia phage vB_EamM_Huxley,2
7176,Erwinia phage vB_EamM_Joad,0
7177,Erwinia phage vB_EamM_Kwan,2
7178,Erwinia phage vB_EamM_MadMel,0
7179,Erwinia phage vB_EamM_Mortimer,0
7180,Erwinia phage vB_EamM_Parshik,0
7181,Erwinia phage vB_EamM_Phobos,2
7182,Erwinia phage vB_EamM_Stratton,0
7183,Erwinia phage vB_EamM_Y3,0
7184,Erwinia phage vB_EamM_Yoloswag,0
7185,Erwinia phage vB_EamP-L1,2
7186,Erwinia phage vB_EamP-S2,0
7187,Erwinia phage vB_EamP-S6,2
7188,Erwinia phage vB_EhrS_49,0
7189,Erwinia phage vB_EhrS_59,0
7190,Erwinia virus Asesino,0
7191,Erwinia virus Deimos,0
7192,Erwinia virus Desertfox,0
7193,Erwinia virus Ea214,0
7194,Erwinia virus Ea2809,0
7195,Erwinia virus Ea35-70,0
7196,Erwinia virus Ea9-2,0
7197,Erwinia virus EaH1,0
7198,Erwinia virus EaH2,0
7199,Erwinia virus Era103,0
7200,Erwinia virus Frozen,0
7201,Erwinia virus M7,0
7202,Erwinia virus Machina,0
7203,Erwinia virus RAY,0
7204,Erwinia virus Risingsun,0
7205,Erwinia virus Simmy50,0
7206,Erwinia virus SpecialG,0
7207,Erysimum latent virus,6
7208,Erysipelothrix phage SE-1,2
7209,Erysipelothrix phage phi1605,0
7210,Erysiphe cichoracearum alphaendornavirus,2
7211,Erysiphe necator mitovirus 1,2
7212,Erysiphe necator mitovirus 2,2
7213,Erysiphe necator mitovirus 3,2
7214,Erysiphe necator partitivirus 1,0
7215,Erysiphe necator partitivirus 2,0
7216,Erysiphe necator partitivirus 3,0
7217,Erythrobacter phage vB_EliS_R6L,0
7218,Erythrocebus patas adenovirus,0
7219,Erythrocytic necrosis virus,0
7220,Erythroparvovirus,0
7221,Erythrura gouldiae polyomavirus 1,2
7222,Eschericha phage vB_EcoM-ECP26,0
7223,Escherichia Stx1 converting phage,5
7224,Escherichia Stx1-converting recombinant phage HUN/2013,2
7225,Escherichia coli O157 typing phage 10,2
7226,Escherichia coli O157 typing phage 11,2
7227,Escherichia coli O157 typing phage 12,2
7228,Escherichia coli O157 typing phage 13,0
7229,Escherichia coli O157 typing phage 14,0
7230,Escherichia coli O157 typing phage 15,0
7231,Escherichia coli O157 typing phage 4,0
7232,Escherichia coli O157 typing phage 5,2
7233,Escherichia coli O157 typing phage 7,0
7234,Escherichia coli O157 typing phage 8,0
7235,Escherichia coli O157 typing phage 9,0
7236,Escherichia coli phage 101962B_ec1,0
7237,Escherichia coli phage 64795_ec1,0
7238,Escherichia coli phage EH297,0
7239,Escherichia coli phage phiKAZ14,0
7240,Escherichia phage 1720a-02,2
7241,Escherichia phage 434,0
7242,Escherichia phage 58,0
7243,Escherichia phage 64795_ec1,2
7244,Escherichia phage A3,0
7245,Escherichia phage APCEc02,0
7246,Escherichia phage APCEc03,0
7247,Escherichia phage APC_JM3.2,0
7248,Escherichia phage AU5,0
7249,Escherichia phage AU6,0
7250,Escherichia phage AnYang,0
7251,Escherichia phage ArgO145,0
7252,Escherichia phage Ayreon,0
7253,Escherichia phage B2,0
7254,Escherichia phage BRET,0
7255,Escherichia phage C1,0
7256,Escherichia phage C130_2,0
7257,Escherichia phage C5,0
7258,Escherichia phage CBA6,0
7259,Escherichia phage CEC_Kaz_2018,0
7260,Escherichia phage CEV1,0
7261,Escherichia phage CICC 80001,2
7262,Escherichia phage CMSTMSU,0
7263,Escherichia phage D108,5
7264,Escherichia phage D5505,0
7265,Escherichia phage D6,0
7266,Escherichia phage DTL,0
7267,Escherichia phage EC121,0
7268,Escherichia phage ECA2,0
7269,Escherichia phage ECBP5,2
7270,Escherichia phage ECML-117,2
7271,Escherichia phage ECO4,0
7272,Escherichia phage ECP1,0
7273,Escherichia phage EEVP,0
7274,Escherichia phage EG1,0
7275,Escherichia phage EGD-2014,0
7276,Escherichia phage EMCL318,0
7277,Escherichia phage EP335,0
7278,Escherichia phage EP75,0
7279,Escherichia phage ESCO13,0
7280,Escherichia phage ESCO5,0
7281,Escherichia phage Ebrios,0
7282,Escherichia phage EcS1,0
7283,Escherichia phage EcSzw-2,0
7284,Escherichia phage EcSzw_1,0
7285,Escherichia phage EcWhh-1,0
7286,Escherichia phage EcoS-CEV2,0
7287,Escherichia phage Eco_BIFF,0
7288,Escherichia phage Ecwhy_1,0
7289,Escherichia phage EdH4,0
7290,Escherichia phage Envy,2
7291,Escherichia phage FEC14,0
7292,Escherichia phage FEC19,0
7293,Escherichia phage G AB-2017,0
7294,Escherichia phage GER2,0
7295,Escherichia phage Gluttony,2
7296,Escherichia phage Gostya9,0
7297,Escherichia phage Greed,0
7298,Escherichia phage HK639,5
7299,Escherichia phage HZ2R8,0
7300,Escherichia phage HZP2,0
7301,Escherichia phage Halfdan,0
7302,Escherichia phage IMM-001,0
7303,Escherichia phage IMM-002,0
7304,Escherichia phage JLK-2012,0
7305,Escherichia phage JSS1,0
7306,Escherichia phage Jahat_MG145,0
7307,Escherichia phage Jp6,0
7308,Escherichia phage K1-ind(3),2
7309,Escherichia phage KBNP135,1
7310,Escherichia phage KBNP21,3
7311,Escherichia phage KIT03,0
7312,Escherichia phage KPN1,0
7313,Escherichia phage L AB-2017,0
7314,Escherichia phage L2,0
7315,Escherichia phage L27,0
7316,Escherichia phage L3,0
7317,Escherichia phage LAMP,0
7318,Escherichia phage LB-2012,0
7319,Escherichia phage LL11,0
7320,Escherichia phage LL12,0
7321,Escherichia phage LL2,0
7322,Escherichia phage LL5,0
7323,Escherichia phage LM33_P1,2
7324,Escherichia phage LS-2018a,0
7325,Escherichia phage LZ,0
7326,Escherichia phage LZ1,0
7327,Escherichia phage LZ9,0
7328,Escherichia phage Lidtsur,0
7329,Escherichia phage Lilleen,0
7330,Escherichia phage Lilleput,0
7331,Escherichia phage Lilleto,0
7332,Escherichia phage Lilleven,0
7333,Escherichia phage Lust,0
7334,Escherichia phage Lw1,5
7335,Escherichia phage Lys12581Vzw,0
7336,Escherichia phage MLF4,0
7337,Escherichia phage MSU52-L1,0
7338,Escherichia phage Minorna,0
7339,Escherichia phage N13,0
7340,Escherichia phage N30,0
7341,Escherichia phage N7,0
7342,Escherichia phage NP1,0
7343,Escherichia phage OLB145,0
7344,Escherichia phage OLB35,0
7345,Escherichia phage OSYSP,0
7346,Escherichia phage P AB-2017,0
7347,Escherichia phage P13353,0
7348,Escherichia phage P13357,0
7349,Escherichia phage P13363,0
7350,Escherichia phage P13368,0
7351,Escherichia phage P13374,3
7352,Escherichia phage P483,2
7353,Escherichia phage P694,2
7354,Escherichia phage PA11,0
7355,Escherichia phage PA12,0
7356,Escherichia phage PA16,0
7357,Escherichia phage PA18,0
7358,Escherichia phage PA21,0
7359,Escherichia phage PA27,0
7360,Escherichia phage PA29,0
7361,Escherichia phage PA30,0
7362,Escherichia phage PA32,0
7363,Escherichia phage PA33,0
7364,Escherichia phage PA36,0
7365,Escherichia phage PA4,0
7366,Escherichia phage PA42,0
7367,Escherichia phage PA44,0
7368,Escherichia phage PA45,0
7369,Escherichia phage PA5,0
7370,Escherichia phage PA50,0
7371,Escherichia phage PA51,0
7372,Escherichia phage PA52,0
7373,Escherichia phage PBECO 4,2
7374,Escherichia phage PD38,0
7375,Escherichia phage PDX,0
7376,Escherichia phage PE3-1,2
7377,Escherichia phage PE37,0
7378,Escherichia phage PGN28,0
7379,Escherichia phage PGN829,0
7380,Escherichia phage PGN829.1,0
7381,Escherichia phage PGP,0
7382,Escherichia phage PGT2,0
7383,Escherichia phage PHB10,0
7384,Escherichia phage PHB11,0
7385,Escherichia phage PHB12,0
7386,Escherichia phage PL-2017a,0
7387,Escherichia phage PMBT57,0
7388,Escherichia phage PP01,0
7389,Escherichia phage Phi05_1387 B,0
7390,Escherichia phage Phi05_1999 B,0
7391,Escherichia phage Phi05_2388 B,0
7392,Escherichia phage Phi06_2974 B,0
7393,Escherichia phage Phi06_2987 S,0
7394,Escherichia phage Pride,0
7395,Escherichia phage RDN37,0
7396,Escherichia phage RDN8,0
7397,Escherichia phage RES-2009a,0
7398,Escherichia phage Rac-SA53,0
7399,Escherichia phage SECphi17,0
7400,Escherichia phage SECphi18,0
7401,Escherichia phage SECphi27,0
7402,Escherichia phage SF,0
7403,Escherichia phage SH2026Stx1,0
7404,Escherichia phage SKH,0
7405,Escherichia phage SP15,0
7406,Escherichia phage SP27,0
7407,Escherichia phage SRT7,0
7408,Escherichia phage ST2,0
7409,Escherichia phage ST20,0
7410,Escherichia phage ST31,0
7411,Escherichia phage ST32,0
7412,Escherichia phage SerU-LTIIb,0
7413,Escherichia phage Skarpretter,0
7414,Escherichia phage Skure,0
7415,Escherichia phage Sloth,0
7416,Escherichia phage Sortsne,0
7417,Escherichia phage St11Ph5,0
7418,Escherichia phage T2,0
7419,Escherichia phage TL-2011a,0
7420,Escherichia phage TL-2011b,2
7421,Escherichia phage UB,0
7422,Escherichia phage UFV-AREG1,2
7423,Escherichia phage Utah,0
7424,Escherichia phage VB_EcoS-Golestan,0
7425,Escherichia phage VNV,0
7426,Escherichia phage XiW-2019a,0
7427,Escherichia phage YDC107_1,0
7428,Escherichia phage YDC107_2,0
7429,Escherichia phage YUEEL01,0
7430,Escherichia phage YZ1,0
7431,Escherichia phage ZCEC5,0
7432,Escherichia phage ZG49,0
7433,Escherichia phage fi125,0
7434,Escherichia phage fp01,0
7435,Escherichia phage myPSH1131,0
7436,Escherichia phage myPSH2311,0
7437,Escherichia phage p000v,0
7438,Escherichia phage p000y,0
7439,Escherichia phage phAPEC8,5
7440,Escherichia phage phT4A,0
7441,Escherichia phage phi G17,0
7442,Escherichia phage phi-8,0
7443,Escherichia phage phi170,0
7444,Escherichia phage phi313/99stx2,0
7445,Escherichia phage phi313/99stx2c,0
7446,Escherichia phage phi326/03stx2,0
7447,Escherichia phage phi326/03stx2c,0
7448,Escherichia phage phi467,0
7449,Escherichia phage phiC120,0
7450,Escherichia phage phiE142,0
7451,Escherichia phage phiEC1,0
7452,Escherichia phage phiEC14stx1,0
7453,Escherichia phage phiEC2447stx2c,0
7454,Escherichia phage phiEC2455stx2c,0
7455,Escherichia phage phiEC3185stx1,0
7456,Escherichia phage phiEC3192stx2c,0
7457,Escherichia phage phiEC3198stx2c,0
7458,Escherichia phage phiEC3206stx1,0
7459,Escherichia phage phiEC571stx1,0
7460,Escherichia phage phiKT,5
7461,Escherichia phage phiLLS,0
7462,Escherichia phage phiON-2011,0
7463,Escherichia phage slur01,2
7464,Escherichia phage slur02,2
7465,Escherichia phage slur05,2
7466,Escherichia phage slur06,0
7467,Escherichia phage slur07,2
7468,Escherichia phage slur08,0
7469,Escherichia phage slur11,0
7470,Escherichia phage slur12,0
7471,Escherichia phage slur13,0
7472,Escherichia phage slur14,2
7473,Escherichia phage slur17,0
7474,Escherichia phage vB_EcoM Sa157lw,0
7475,Escherichia phage vB_EcoM-ECP32,0
7476,Escherichia phage vB_EcoM-G28,0
7477,Escherichia phage vB_EcoM-Pr121LW,0
7478,Escherichia phage vB_EcoM-Ro111lw,0
7479,Escherichia phage vB_EcoM-Ro121c4YLVW,0
7480,Escherichia phage vB_EcoM-Ro121lw,0
7481,Escherichia phage vB_EcoM-Ro157c2YLVW,0
7482,Escherichia phage vB_EcoM-Ro157lw,0
7483,Escherichia phage vB_EcoM-Sa157w3YLVW,0
7484,Escherichia phage vB_EcoM-Sa45lw,0
7485,Escherichia phage vB_EcoM-UFV13,2
7486,Escherichia phage vB_EcoM-fFiEco06,0
7487,Escherichia phage vB_EcoM-fHoEco02,0
7488,Escherichia phage vB_EcoM_005,0
7489,Escherichia phage vB_EcoM_DalCa,0
7490,Escherichia phage vB_EcoM_ECP26,0
7491,Escherichia phage vB_EcoM_G10400,0
7492,Escherichia phage vB_EcoM_G17,0
7493,Escherichia phage vB_EcoM_G2133,0
7494,Escherichia phage vB_EcoM_G2248,0
7495,Escherichia phage vB_EcoM_G2285,0
7496,Escherichia phage vB_EcoM_G2469,0
7497,Escherichia phage vB_EcoM_G2494,0
7498,Escherichia phage vB_EcoM_G2540,0
7499,Escherichia phage vB_EcoM_G2540-3,0
7500,Escherichia phage vB_EcoM_G29,0
