scientific_name,taxonomic_id,rank,atacama_desert___id_10360,hawaii_volcanic_soil___id_1579,panama_soil___id_1716,canadian_metamicrobiome___id_632,serpentinite_hosted_microbiome___id_713,polluted_polar_coastal_sediments___id_1198,mcmurdo_lakes___id_638,great_lake_microbiome___id_1041,global_coral_microbiome_project___id_10895,tara_counts,vulcano_counts,polar_counts,phyllo_counts,panama_counts,lakes_counts,hawaii_counts,costa_counts,air_counts,arabic_counts,thar_counts,antarctic_counts,virus_name,virus_lineage,kegg_genome,kegg_disease,disease,host_name,host_lineage,sample_type,microbe_id,gram_stain,human_disease_causing,antimicrobial_susceptibility,optimal_temperature,extreme_environment,biofilm_forming,optimal_ph,animal_pathogen,spore_forming,pathogenicity,plant_pathogen
Bat poxvirus,1514708,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat rhabdovirus,1638137,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat rotavirus,1340801,species,,,,,,,,,,,,,,,,,,,,,,Bat rotavirus,Viruses; dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus; unclassified Rotavirus,,,,Rousettus aegyptiacus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus,,,,,,,,,,,,,
Bat rubulavirus,2507515,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat sapelovirus,1958777,species,,,,,,,,,,,,,,,,,,,,,,Bat sapelovirus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Sapelovirus; unclassified Sapelovirus",,,,Eidolon helvum,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon,,,,,,,,,,,,,
Bat sapovirus,1959930,species,,,,,,,,,,,,,,,,,,,,,,Bat sapovirus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; unclassified Sapovirus",,,,"Chiroptera, Eidolon helvum","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Eidolon",,,,,,,,,,,,,
Bat sapovirus TLC34/HK,1185356,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat sapovirus TLC38/HK,1185357,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat sapovirus TLC39/HK,1185358,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat sapovirus TLC58/HK,1185359,species,,,,,,,,,,,,,,,,,,,,,,Bat sapovirus TLC58/HK,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Caliciviridae; Sapovirus; unclassified Sapovirus",,,,"Chiroptera, Carollia perspicillata","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Carolliinae; Carollia",,,,,,,,,,,,,
Bat sapovirus TLC72/HK,1185322,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat simplexvirus 1,570421,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat sobemovirus,1340805,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat tymo-like virus,1888311,species,,,,,,,,,,,,,,,,,,,,,,Bat tymo-like virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; unclassified Tymovirales",,,,Chiroptera,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Laurasiatheria,,,,,,,,,,,,,
Bat vesiculovirus,1949065,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat virus LHY-2013,1413218,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batai orthobunyavirus,2560341,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batama orthobunyavirus,1933177,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus,1421773,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV132,633835,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV161,633836,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV178,633837,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV82,633838,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV86,633839,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bathycoccus virus BpV87,633840,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batrachovirus,692605,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bavaria virus,2560343,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bavovirus,2560097,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxtervirus,2169635,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayou orthohantavirus,1980459,species,,,,,,,,,,,,,,,,,,,,,,Bayou orthohantavirus,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Orthohantavirus,,,,"Oryzomys palustris, Homo sapiens","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Cricetidae; Sigmodontinae; Oryzomys, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo",,,,,,,,,,,,,
Bcepmuvirus,1198139,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bclasvirinae,1982876,subfamily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdellomicrovirus,10856,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdellovibrio bacteriovirus,28308,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdellovibrio phage phi1402,1035662,species,,,,,,,,,,,,,,,,,,,,,,Bdellovibrio phage phi1402,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",,,,Bdellovibrio bacteriovorus,Bacteria; Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio,,7334.0,,,,,Mesophiles,Never,,Maybe Not,Never,,Maybe Not
Bdellovibrio phage phi1422,1127515,species,,,,,,,,,,,,,,,,,,,,,,Bdellovibrio phage phi1422,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",,,,Bdellovibrio bacteriovorus,Bacteria; Proteobacteria; Oligoflexia; Bdellovibrionales; Bdellovibrionaceae; Bdellovibrio,,1645.0,,,,,Mesophiles,Never,,Maybe Not,Never,,Maybe Not
Bdellovibrio virus MH2K,1986027,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeAn 157575 virus,1272938,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeAn 58058 virus,67082,species,,,,,,,,,,,,,,,,,,,,,,BeAn 58058 virus,"Viruses; dsDNA viruses, no RNA stage; Poxviridae; Chordopoxvirinae; unclassified Chordopoxvirinae",,,,Oryzomys sp.,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Cricetidae; Sigmodontinae; Oryzomys,,,,,,,,,,,,,
Beak and feather disease virus,77856,species,,,,,,,,,,,,,,,,,,,,,,Beak and feather disease virus,Viruses; ssDNA viruses; Circoviridae; Circovirus,,,,"Psittaciformes, Gracula","Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae, Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Aves; Neognathae; Passeriformes; Sturnidae",,6446.0,,Maybe,,,Mesophiles,,,Sometimes,,,Maybe Not
Bean calico mosaic virus,31602,species,,,,,,,,,,,,,,,,,,,,,,Bean calico mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,T40151,,,"Malva parviflora, Phaseolus acutifolius, Nicotiana tabacum, Nicotiana benthamiana, Phaseolus","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Malva, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae",,4111.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean chlorosis virus,1227354,species,,,,,,,,,,,,,,,,,,,,,,Bean chlorosis virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,1202.0,,Maybe,,,Mesophiles,,,Maybe Not,,,
Bean chlorotic mosaic virus,1227355,species,,,,,,,,,,,,,,,,,,,,,,Bean chlorotic mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus; unclassified Begomovirus,,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,7584.0,,Maybe,,,Mesophiles,,,Maybe Not,,,
Bean common mosaic necrosis virus,43240,species,,,,,,,,,,,,,,,,,,,,,,Bean common mosaic necrosis virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae; Potyvirus",T40152,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,4424.0,,Maybe,Maybe Not,,Mesophiles,,,,,,
Bean common mosaic virus,12196,species,,,,,,,,,,,,,,,,,,,,,,Bean common mosaic virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae; Potyvirus",T40153,,,"Vigna unguiculata, Vigna unguiculata subsp. unguiculata","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Vigna; Vigna unguiculata, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Vigna",,594.0,,Maybe,Maybe Not,,Mesophiles,,,,,,
Bean dwarf mosaic virus,10838,species,,,,,,,,,,,,,,,,,,,,,,Bean dwarf mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,T40154,,,"Glycine max, Phaseolus vulgaris","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja",,6824.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean golden mosaic virus,10839,species,,,,,,,,,,,,,,,,,,,,,,Bean golden mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,T40155,,,"Glycine max, Phaseolus vulgaris","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja",,4234.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean golden yellow mosaic virus,220340,species,,,,,,,,,,,,,,,,,,,,,,Bean golden yellow mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,T40156,,,"Phaseolus lunatus, Malvastrum coromandelianum, Phaseolus vulgaris, Macroptilium lathyroides","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Macroptilium, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Malvales; Malvaceae; Malvoideae; Malvastrum",,1236.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean leaf crumple virus,2004460,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean leaf curl Madagascar virus,439420,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean leafroll virus,12041,species,,,,,,,,,,,,,,,,,,,,,,Bean leafroll virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Luteoviridae; Luteovirus",T40234,,,"Lens culinaris, Phaseolus vulgaris, Pisum sativum, Medicago sativa, Trifolium repens, Vigna unguiculata, Vicia faba, Cicer arietinum","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Fabeae; Pisum, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Fabeae; Lens, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Trifolieae; Trifolium, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Vigna, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Cicereae; Cicer, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Fabeae; Vicia",,2410.0,Positive,,,,Mesophiles,,,,,,Sometimes
Bean mosaic Florida virus,79010,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean mosaic crinkle Barbados virus,757427,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean necrotic mosaic virus,1033976,species,,,,,,,,,,,,,,,,,,,,,,Bean necrotic mosaic virus,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Tospovirus; unclassified Tospovirus,,,,"Physalis pubescens, Phaseolus vulgaris","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Solanales; Solanaceae; Solanoideae; Physaleae; Physalis, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus",,4683.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean pod mottle virus,12260,species,,,,,,,,,,,,,,,,,,,,,,Bean pod mottle virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Secoviridae; Comovirinae; Comovirus",T40157,,,"Glycine max, Phaseolus vulgaris, Desmodium","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Desmodieae",,485.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean rugose mosaic virus,128790,species,,,,,,,,,,,,,,,,,,,,,,Bean rugose mosaic virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Secoviridae; Comovirinae; Comovirus",T40158,,,Glycine max,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja,,,,,,,,,,,,,
Bean white chlorosis mosaic virus,2169732,species,,,,,,,,,,,,,,,,,,,,,,Bean white chlorosis mosaic virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,,,,,,,,,,,,
Bean yellow disorder virus,267970,species,,,,,,,,,,,,,,,,,,,,,,Bean yellow disorder virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Closteroviridae; Crinivirus",,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,2343.0,,Maybe,,,Mesophiles,,,Maybe Not,,,Sometimes
Bean yellow dwarf virus,57119,species,,,,,,,,,,,,,,,,,,,,,,Bean yellow dwarf virus,Viruses; ssDNA viruses; Geminiviridae; Mastrevirus,,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,1512.0,,,,,,,,,,,
Bean yellow mosaic Mexico virus,714310,species,,,,,,,,,,,,,,,,,,,,,,Bean yellow mosaic Mexico virus,Viruses; ssDNA viruses; Geminiviridae; Begomovirus,,,,Phaseolus vulgaris,Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus,,4252.0,,Maybe,,,Mesophiles,,,Maybe Not,,,
Bean yellow mosaic virus,12197,species,,,,,,,,,,,,,,,,,,,,,,Bean yellow mosaic virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Potyviridae; Potyvirus",T40161,,,"Phaseolus vulgaris, Pisum sativum, Canna, Trifolium hybridum, Papaver somniferum, Vicia faba, Crotalaria, Lupinus luteus, Gladiolus, Trifolium pratense, Trifolium repens, Medicago sativa, Glycine max, Trigonella foenum-graecum, Vicia sativa, Trifolium vesiculosum, Robinia pseudoacacia, Freesia, Trifolium incarnatum, Arachis hypogaea, Eustoma, Trifolium subterraneum","Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Asparagales; Iridaceae; Crocoideae; Freesieae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Fabeae; Pisum, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Robinieae; Robinia, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Zingiberales; Cannaceae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Dalbergieae; Arachis, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Gentianales; Gentianaceae; Chironieae; Chironiinae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Trifolieae; Trifolium, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Liliopsida; Petrosaviidae; Asparagales; Iridaceae; Crocoideae; Gladioleae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Genisteae; Lupinus, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Crotalarieae, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Ranunculales; Papaveraceae; Papaveroideae; Papaver, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Trifolieae; Trigonella, Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Fabales; Fabaceae; Papilionoideae; Fabeae; Vicia",,5112.0,,Maybe,Maybe Not,,Mesophiles,,,,,,
Bear Canyon mammarenavirus,192848,species,,,,,,,,,,,,,,,,,,,,,,Bear Canyon mammarenavirus,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus,,,,Peromyscus californicus,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Cricetidae; Neotominae; Peromyscus,,,,,,,,,,,,,
Bear picornavirus 1,2500545,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearded dragon parvovirus,1670662,species,,,,,,,,,,,,,,,,,,,,,,Bearded dragon parvovirus,Viruses; ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus; unclassified Dependoparvovirus,,,,Pogona vitticeps,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Lepidosauria; Squamata; Iguania; Agamidae; Amphibolurinae; Pogona,,,,,,,,,,,,,
Beatrice Hill tibrovirus,2170224,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont virus,1407072,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana RNA virus 1,1054649,species,,,,,,,,,,,,,,,,,,,,,,Beauveria bassiana RNA virus 1,Viruses; dsRNA viruses; unclassified dsRNA viruses,,,,Beauveria bassiana,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Beauveria,,,,,,,,,,,,,
Beauveria bassiana chrysovirus 1,2501274,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana narnavirus,1908388,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana narnavirus satellite RNA 1,1973210,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana narnavirus satellite RNA 2,1973211,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana non-segmented RNA virus 1,2501289,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana non-segmented virus 1,1549357,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana partitivirus 1,1740644,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana partitivirus 2,1740645,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana polymycovirus 1,1740646,species,,,,,,,,,,,,,,,,,,,,,,Beauveria bassiana polymycovirus 1,Viruses; unclassified viruses,,,,Beauveria bassiana,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Beauveria,,,,,,,,,,,,,
Beauveria bassiana polymycovirus 2,1740647,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana polymycovirus 3,1740648,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana victorivirus 1,1685109,species,,,,,,,,,,,,,,,,,,,,,,Beauveria bassiana victorivirus 1,Viruses; dsRNA viruses; Totiviridae; Victorivirus,,,,Beauveria bassiana,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Beauveria,,,,,,,,,,,,,
Beauveria bassiana victorivirus 3,1740649,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana victorivirus 4,1740650,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana victorivirus 5,1740651,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana victorivirus 6,1740652,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauveria bassiana victorivirus NZL/1980,1485922,species,,,,,,,,,,,,,,,,,,,,,,Beauveria bassiana victorivirus NZL/1980,Viruses; dsRNA viruses; Totiviridae; Victorivirus; unclassified Victorivirus,,,,Beauveria bassiana,Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; Beauveria,,,,,,,,,,,,,
Bebaru virus,59305,species,,,,,,,,,,,,,,,,,,,,,,Bebaru virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Togaviridae; Alphavirus",,,,Mus sp.,Eukaryota; Metazoa; Chordata; Craniata; Sarcopterygii; Mammalia; Euarchontoglires; Rodentia; Myomorpha; Muridae; Murinae; Mus,,4146.0,Positive,,Maybe Not,,Mesophiles,Never,,Sometimes,,,Maybe Not
Becurtovirus,1298630,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee Macula-Like virus 2,2094260,species,,,,,,,,,,,,,,,,,,,,,,Bee Macula-Like virus 2,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Tymoviridae; Maculavirus; unclassified Maculavirus",,,,Andrena haemorrhoa,Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena,,,,,,,,,,,,,
Bee Macula-like virus,1682186,species,,,,,,,,,,,,,,,,,,,,,,Bee Macula-like virus,"Viruses; ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Tymovirales; Tymoviridae; unclassified Tymoviridae",,,,Apis mellifera,Eukaryota; Metazoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apinae; Apini; Apis,,,,,,,,,,,,,
Bee iflavirus 1,2094258,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
