scientific_name,taxonomic_id,rank,air_counts,alfisols,andisols,animal_pathogen,antarctic_counts,antimicrobial_susceptibility,arabic_counts,atacama_desert___id_10360,biofilm_forming,canadian_metamicrobiome___id_632,costa_counts,depth/altitude,drylands,entisols,extreme_environment,gelisols,genome_availability,global_coral_microbiome_project___id_10895,gram_stain,great_lake_microbiome___id_1041,hawaii_counts,hawaii_volcanic_soil___id_1579,high_ph,host_lineage,host_name,human_disease_causing,human_microbiome_body_site,inceptisols,lakes_counts,latitude,longitude,low_ph,low_productivity,mcmurdo_lakes___id_638,microbe_id,mollisols,optimal_ph,optimal_temperature,panama_counts,panama_soil___id_1716,pathogenicity,phyllo_counts,plant_pathogen,polar_counts,polluted_polar_coastal_sediments___id_1198,salinity_concentration/range(w/v),sand_rock_ice,serpentinite_hosted_microbiome___id_713,spore_forming,tara_counts,thar_counts,trophic_level,ultisols,vertisols,virus_lineage,virus_name,vulcano_counts
Actinomadura rubrobrunea,115335,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura rudentiformis,359158,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura rupiterrae,559627,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura scrupuli,559629,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura sediminis,1038904,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura syzygii,1427538,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura umbrina,111806,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura vinacea,115336,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura viridilutea,58112,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura viridis,58110,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura vulgaris,1233071,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura xylanilytica,887459,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomadura yumaensis,111807,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces,1654,genus,1.0,,,,31.0,,0.0,0.0,,2.0,0.0,,,,,,,1.0,,2.0,4.0,1.0,,,,,,,85.0,,,,,2.0,,,,,1.0,0.0,,6.0,,108.0,2.0,,,34.0,,107.0,0.0,,,,,,2.0
Actinomyces bouchesdurhonensis,1852361,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces bovis,1658,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces bowdenii,131109,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces catuli,119495,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces coleocanis,103618,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,3775.0,,,37.0,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces culturomici,1926276,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces dentalis,272548,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces denticolens,52767,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces europaeus,66228,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,1789.0,,,,,,2.0,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces gaoshouyii,1960083,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces gerencseriae,52769,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces glycerinitolerans,1892869,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces graevenitzii,55565,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,6180.0,,,37.0,,,2.0,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces haliotis,1280843,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces hominis,595468,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces hongkongensis,178339,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces hordeovulneris,52770,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces howellii,52771,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces ihuae,1673722,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces israelii,1659,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces johnsonii,544581,species,,,,Maybe Not,,,,,Always,,,,,,Mesophiles,,,,Positive,,,,,,,Sometimes,,,,,,,,,5091.0,,,37.0,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces marimammalium,156892,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces marseillensis,1852376,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces massiliensis,461393,species,,,,Maybe Not,,Sometimes,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,7436.0,,,37.0,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces mediterranea,1871028,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces minihominis,2002838,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces naeslundii,1655,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces,Actinomyces naeslundii,Sometimes,,,,,,,,,6904.0,,,37.0,,,2.0,,Maybe Not,,,,,,Never,,,,,,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Picovirinae; unassigned Picovirinae",Actinomyces virus Av1,
Actinomyces nasicola,208480,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces neuii,33007,species,,,,Maybe Not,,Sometimes,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,4250.0,,,,,,2.0,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces oralis,2060916,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces oricola,206043,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces orihominis,236751,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces oris,544580,species,,,,Maybe Not,,,,,Always,,,,,,Mesophiles,,,,Positive,,,,,,,Sometimes,,,,,,,,,5046.0,,,37.0,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces pacaensis,1852377,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces polynesiensis,1325934,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces provencensis,1720198,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces radicidentis,111015,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces ruminicola,332524,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces slackii,52774,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC035G02,1739406,species,,,,,,,,,,,,,,,,,,,,,,,,,,,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC062G12,1739450,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC064C12,1739355,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC065F11,1739395,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC065F12,1739479,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC06A08,1581120,species,,,,,,,,,,,,,,,,,,,,,,,,,,,urogenital-tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC072A03,1739339,species,,,,,,,,,,,,,,,,,,,,,,,,,,,urogenital-tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC075B09,1739358,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC075C01,1739387,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC08A01,1581131,species,,,,,,,,,,,,,,,,,,,,,,,,,,,urogenital-tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HMSC08A09,1581133,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. HPA0247,1203556,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. ICM39,1105029,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. ICM47,936548,species,,,,,,,,,,,,,,,,,,,,,,,,,,,oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. ICM54,936549,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. ICM58,1105030,species,,,,,,,,,,,,,,,,,,,,,,,,,,,not-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. S4-C9,1219581,species,,,,,,,,,,,,,,,,,,,,,,,,,,,urogenital-tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces sp. S6-Spd3,1284680,species,,,,,,,,,,,,,,,,,,,,,,,,,,,urogenital-tract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces succiniciruminis,1522002,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces tangfeifanii,1912795,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces timonensis,1288391,species,,,,Maybe Not,,Sometimes,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,354.0,,,37.0,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces urinae,1689268,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces urogenitalis,103621,species,,,,Maybe Not,,Sometimes,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Sometimes,,,,,,,,,2425.0,,,,,,,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces viscosus,1656,species,,,,Sometimes,,Sometimes,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Sometimes,,,,,,,,,3399.0,,,,,,2.0,,Maybe Not,,,,,,Never,,,,,,,,
Actinomyces vulturis,1857645,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces weissii,675090,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetaceae,2049,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetales,2037,order,0.0,,,,32.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,16.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,5.0,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,0.0
Actinomycetales bacteriuum LCK-2009.34,1032299,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetales foal25,1141406,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetales mare18,1141407,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomycetospora,402649,genus,1.0,,,,2429.0,,0.0,0.0,,0.0,0.0,,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,4.0,0.0,,21.0,,10.0,0.0,,,0.0,,7.0,35.0,,,,,,2.0
Actinomycetospora chiangmaiensis,402650,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,5967.0,,,,,,1.0,,Maybe Not,,,,,,Always,,,,,,,,
Actinophytocola,695999,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola algeriensis,1768010,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola burenkhanensis,696000,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola corallina,657018,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola gilvus,1468259,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola glycyrrhizae,2044873,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola oryzae,502181,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola sediminis,1476870,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola timorensis,657017,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola xanthii,1912961,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophytocola xinjiangensis,485602,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes,1865,genus,0.0,,,,84.0,,0.0,1.0,,0.0,0.0,,,,,,,0.0,,0.0,326.0,4.0,,,,,,,0.0,,,,,2.0,,,,,14.0,2.0,,28.0,,0.0,0.0,,,1251.0,,10.0,420.0,,,,,,1.0
Actinoplanes abujensis,882441,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes arizonaensis,135945,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes atraurantiacus,1036182,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes auranticolor,47988,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes awajinensis,135946,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes bogorensis,1610840,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes campanulatus,113559,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes capillaceus,76756,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes cibodasensis,1609275,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes consettensis,113560,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes couchii,403638,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes cyaneus,52696,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes deccanensis,113561,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes derwentensis,113562,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes digitatis,1868,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes durhamensis,113563,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes ferrugineus,113564,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes friuliensis,196914,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,5692.0,,,,,,1.0,,Maybe Not,,,,,,Always,,,,,,,,
Actinoplanes garbadinensis,69485,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes globisporus,113565,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,4368.0,,,26.0,,,1.0,,Maybe Not,,,,,,Always,,,,,,,,
Actinoplanes hulinensis,1144547,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes humidus,113566,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes ianthinogenes,122358,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes italicus,113567,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes kinshanensis,122366,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes missouriensis,1866,species,,10.0,0.0,Maybe Not,,,,,,,,,,0.0,Mesophiles,0.0,,,Positive,,,,,,,Maybe,,0.0,,,,,,,2482.0,2125.0,,28.0,,,1.0,,Maybe Not,,,,0.0,,,,,,0.0,5242.0,,,
Actinoplanes nipponensis,135950,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes octamycinicus,135948,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes palleronii,113570,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes pallidoaurantiacus,122359,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes penicillatus,122360,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes philippinensis,35752,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes purpeobrunneus,122361,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes pyriformis,122362,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes ramoplaninifer,457385,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes rectilineatus,113571,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes regularis,52697,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes rhizophilus,1416877,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes rishiriensis,1050105,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes sarveparensis,135952,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes sediminis,1734445,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes siamensis,1223317,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes sichuanensis,512349,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes sp. SN223/29,442459,species,,,,,,,,,,,,,,,,,,,,,,,,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes,Actinoplanes sp. SN223/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae",Actinoplanes phage phiAsp2,
Actinoplanes subglobosus,1547892,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes subtropicus,543632,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes teichomyceticus,1867,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes tereljensis,571912,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes toevensis,571911,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes tropicalis,1609274,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes tsinanensis,2039464,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes tuftoflagellus,122364,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes utahensis,1869,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes violaceus,122365,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes xinjiangensis,512350,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes yunnanensis,135949,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinopolymorpha,117156,genus,0.0,,,,63.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,3.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,0.0
Actinopolymorpha alba,533267,species,,,,Maybe Not,,,,,,,,,,,Mesophiles,,,,Positive,,,,,,,Maybe,,,,,,,,,295.0,,6.5,,,,1.0,,Maybe Not,,,,,,Never,,,,,,,,
Actinopolymorpha cephalotaxi,504797,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinopolymorpha rutila,446787,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinopolymorpha singaporensis,117157,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinopolyspora,1849,genus,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,3.0,,0.0,0.0,,,,,,0.0
Actinopolyspora alba,673379,species,,,,,,,,,,,,,,,,,shotgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10% - 25%, optimum 15%",,,,,,,,,,,
