Organism,Human Microbiome Body Site
Corynebacterium matruchotii ATCC 33806,oral
Corynebacterium minutissimum ATCC 23348,skin
Corynebacterium pseudodiphtheriticum DSM 44287,not-specified
Corynebacterium pseudogenitalium ATCC 33035,urogenital-tract
Corynebacterium pyruviciproducens ATCC BAA-1742,not-specified
Corynebacterium singulare,not-specified
Corynebacterium sp. CMW7794,urogenital-tract
Corynebacterium sp. DNF00584,urogenital-tract
Corynebacterium sp. HFH0082,not-specified
Corynebacterium sp. HMSC034A01,not-specified
Corynebacterium sp. HMSC034B08,urogenital-tract
Corynebacterium sp. HMSC034E11,not-specified
Corynebacterium sp. HMSC035E02,urogenital-tract
Corynebacterium sp. HMSC036D02,urogenital-tract
Corynebacterium sp. HMSC036D03,urogenital-tract
Corynebacterium sp. HMSC036E10,urogenital-tract
Corynebacterium sp. HMSC04H06,urogenital-tract
Corynebacterium sp. HMSC055A01,urogenital-tract
Corynebacterium sp. HMSC055D05,urogenital-tract
Corynebacterium sp. HMSC055G02,not-specified
Corynebacterium sp. HMSC056E09,urogenital-tract
Corynebacterium sp. HMSC056F09,urogenital-tract
Corynebacterium sp. HMSC058E07,not-specified
Corynebacterium sp. HMSC05C01,urogenital-tract
Corynebacterium sp. HMSC05D03,urogenital-tract
Corynebacterium sp. HMSC05D08,urogenital-tract
Corynebacterium sp. HMSC05E07,urogenital-tract
Corynebacterium sp. HMSC05E07,urogenital-tract
Corynebacterium sp. HMSC05H05,urogenital-tract
Corynebacterium sp. HMSC061H03,not-specified
Corynebacterium sp. HMSC062A03,not-specified
Corynebacterium sp. HMSC063A05,not-specified
Corynebacterium sp. HMSC063F04,not-specified
Corynebacterium sp. HMSC063G05,not-specified
Corynebacterium sp. HMSC064E07,not-specified
Corynebacterium sp. HMSC064E08,not-specified
Corynebacterium sp. HMSC064E10,not-specified
Corynebacterium sp. HMSC064H12,not-specified
Corynebacterium sp. HMSC065A05,not-specified
Corynebacterium sp. HMSC065D07,urogenital-tract
Corynebacterium sp. HMSC065H09,not-specified
Corynebacterium sp. HMSC066C02,not-specified
Corynebacterium sp. HMSC067D03,not-specified
Corynebacterium sp. HMSC068G04,not-specified
Corynebacterium sp. HMSC069E04,not-specified
Corynebacterium sp. HMSC06C06,urogenital-tract
Corynebacterium sp. HMSC06D04,urogenital-tract
Corynebacterium sp. HMSC06G04,urogenital-tract
Corynebacterium sp. HMSC070B05,not-specified
Corynebacterium sp. HMSC070E08,urogenital-tract
Corynebacterium sp. HMSC070H05,not-specified
Corynebacterium sp. HMSC071B10,urogenital-tract
Corynebacterium sp. HMSC071F07,urogenital-tract
Corynebacterium sp. HMSC072A02,urogenital-tract
Corynebacterium sp. HMSC072A04,urogenital-tract
Corynebacterium sp. HMSC072B08,not-specified
Corynebacterium sp. HMSC072B09,not-specified
Corynebacterium sp. HMSC072D01,not-specified
Corynebacterium sp. HMSC072D12,urogenital-tract
Corynebacterium sp. HMSC072G08,not-specified
Corynebacterium sp. HMSC073B01,not-specified
Corynebacterium sp. HMSC073D01,urogenital-tract
Corynebacterium sp. HMSC073D01,urogenital-tract
Corynebacterium sp. HMSC073H12,not-specified
Corynebacterium sp. HMSC074A01,not-specified
Corynebacterium sp. HMSC074C01,not-specified
Corynebacterium sp. HMSC074C03,not-specified
Corynebacterium sp. HMSC074C04,not-specified
Corynebacterium sp. HMSC074C05,not-specified
Corynebacterium sp. HMSC074C11,not-specified
Corynebacterium sp. HMSC074E01,urogenital-tract
Corynebacterium sp. HMSC074H12,urogenital-tract
Corynebacterium sp. HMSC075D04,urogenital-tract
Corynebacterium sp. HMSC075F02,not-specified
Corynebacterium sp. HMSC076C10,not-specified
Corynebacterium sp. HMSC076D02,not-specified
Corynebacterium sp. HMSC077B05,not-specified
Corynebacterium sp. HMSC077C02,not-specified
Corynebacterium sp. HMSC077D03,not-specified
Corynebacterium sp. HMSC077D10,not-specified
Corynebacterium sp. HMSC077G01,not-specified
Corynebacterium sp. HMSC077G07,not-specified
Corynebacterium sp. HMSC078A10,not-specified
Corynebacterium sp. HMSC078C09,urogenital-tract
Corynebacterium sp. HMSC078H07,urogenital-tract
Corynebacterium sp. HMSC08A12,urogenital-tract
Corynebacterium sp. HMSC08C04,urogenital-tract
Corynebacterium sp. HMSC08D02,urogenital-tract
Corynebacterium sp. HMSC08F01,urogenital-tract
Corynebacterium sp. HMSC11D10,urogenital-tract
Corynebacterium sp. HMSC11E11,urogenital-tract
Corynebacterium sp. HMSC11H10,urogenital-tract
Corynebacterium sp. HMSC14B06,urogenital-tract
Corynebacterium sp. HMSC14H10,urogenital-tract
Corynebacterium sp. HMSC22B11,urogenital-tract
Corynebacterium sp. HMSC27B11,urogenital-tract
Corynebacterium sp. HMSC28B08,not-specified
Corynebacterium sp. HMSC29G08,urogenital-tract
Corynebacterium sp. HMSC30G07,urogenital-tract
Corynebacterium sp. KPL1814,not-specified
Corynebacterium sp. KPL1817,not-specified
Corynebacterium sp. KPL1818,not-specified
Corynebacterium sp. KPL1821,not-specified
Corynebacterium sp. KPL1824,not-specified
Corynebacterium sp. KPL1855,not-specified
Corynebacterium sp. KPL1856,not-specified
Corynebacterium sp. KPL1857,not-specified
Corynebacterium sp. KPL1859,not-specified
Corynebacterium sp. KPL1860,not-specified
Corynebacterium sp. KPL1986,not-specified
Corynebacterium sp. KPL1989,not-specified
Corynebacterium sp. KPL1995,not-specified
Corynebacterium sp. KPL1996,not-specified
Corynebacterium sp. KPL1998,not-specified
Corynebacterium sp. KPL2004,not-specified
Corynebacterium sp. NML 130210 NML 130210,not-specified
Corynebacterium sp. NML98-0116,urogenital-tract
Corynebacterium sputi DSM 45148,not-specified
Corynebacterium striatum ATCC 6940,urogenital-tract
Corynebacterium tuberculostearicum SK141,skin
Corynebacterium tuscaniense DNF00037,urogenital-tract
Corynebacterium tuscaniense DNF00037,urogenital-tract
Corynebacterium ureicelerivorans,blood
Coxiella burnetii cb109,not-specified
Cryptobacterium curtum DSM 15641,not-specified
Cutibacterium avidum ATCC 25577,oral
Cutibacterium avidum MJR7694,urogenital-tract
Delftia acidovorans CCUG 15835,not-specified
Delftia acidovorans CCUG 274B,not-specified
Dermabacter sp. HFH0086,not-specified
Dermabacter sp. HMSC06F07,urogenital-tract
Dermabacter sp. HMSC08H10,urogenital-tract
Dermabacter vaginalis AD1-86,not-specified
Dermacoccus sp. Ellin185,skin
Desmospora sp. 8437,blood
Desulfitobacterium hafniense DP7,gastrointestinal-tract
Desulfomicrobium orale DSM 12838,not-specified
Desulfovibrio piger ATCC 29098,gastrointestinal-tract
Desulfovibrio sp. 3_1_syn3,gastrointestinal-tract
Desulfovibrio sp. 6_1_46AFAA,gastrointestinal-tract
Dialister invisus DSM 15470,oral
Dialister micraerophilus DSM 19965,urogenital-tract
Dialister microaerophilus UPII 345-E,urogenital-tract
Dialister pneumosintes F0677,not-specified
Dialister succinatiphilus YIT 11850,gastrointestinal-tract
Dietzia sp. HMSC21D01,urogenital-tract
Dolosigranulum pigrum ATCC 51524,central-nervous-system
Dorea formicigenerans 4_6_53AFAA,gastrointestinal-tract
Dorea formicigenerans ATCC 27755,gastrointestinal-tract
Dorea longicatena DSM 13814,"not-specified, gastrointestinal-tract"
Dorea longicatena DSM 13814,gastrointestinal-tract
Dorea sp. D27,not-specified
Dysgonomonas capnocytophagoides DSM 22835,not-specified
Dysgonomonas gadei ATCC BAA-286,gastrointestinal-tract
Dysgonomonas mossii DSM 22836,gastrointestinal-tract
Edwardsiella tarda ATCC 23685,gastrointestinal-tract
Eggerthella lenta 1_1_60AFAA,not-specified
Eggerthella sp. 1_3_56FAA,gastrointestinal-tract
Eggerthella sp. HGA1,gastrointestinal-tract
Eggerthia catenaformis OT 569,not-specified
Eggerthia catenaformis OT 569 = DSM 20559,not-specified
Eikenella corrodens ATCC 23834,oral
Eikenella corrodens ATCC 23834,oral
Eikenella corrodens CC92I,not-specified
Eikenella sp. HMSC061C02,not-specified
Eikenella sp. HMSC071B05,not-specified
Eikenella sp. HMSC073A11,not-specified
Eisenbergiella tayi NML 110608,blood
Elizabethkingia anophelis NUHP1,not-specified
Enhydrobacter aerosaccus SK60,skin
Enterobacter cancerogenus ATCC 35316,gastrointestinal-tract
Enterobacter cloacae complex Hoffmann cluster IV DSM 16690,not-specified
Enterobacter hormaechei hormaechei ATCC 49162,oral
Enterobacter kobei DSM 13645,blood
Enterobacter ludwigii EN-119,not-specified
Enterobacter sp. HMSC055A11,gastrointestinal-tract
Enterobacter sp. HMSC16D10,urogenital-tract
Enterobacteriaceae bacterium 9_2_54FAA,gastrointestinal-tract
Enterococcus casseliflavus ATCC 12755,oral
Enterococcus faecalis 599,not-specified
Enterococcus faecalis 918,not-specified
Enterococcus faecalis ATCC 29200,urogenital-tract
Enterococcus faecalis DAPTO 512,blood
Enterococcus faecalis DAPTO 516,blood
Enterococcus faecalis E12,not-specified
Enterococcus faecalis EnGen0297,urogenital-tract
Enterococcus faecalis EnGen0311,urogenital-tract
Enterococcus faecalis ERV103,not-specified
Enterococcus faecalis ERV116,not-specified
Enterococcus faecalis ERV129,skin
Enterococcus faecalis ERV25,skin
Enterococcus faecalis ERV31,not-specified
Enterococcus faecalis ERV37,not-specified
Enterococcus faecalis ERV41,not-specified
Enterococcus faecalis ERV62,not-specified
Enterococcus faecalis ERV63,not-specified
Enterococcus faecalis ERV65,skin
Enterococcus faecalis ERV68,not-specified
Enterococcus faecalis ERV72,skin
Enterococcus faecalis ERV73,not-specified
Enterococcus faecalis ERV81,urogenital-tract
Enterococcus faecalis ERV85,urogenital-tract
Enterococcus faecalis ERV93,urogenital-tract
Enterococcus faecalis HH22,urogenital-tract
Enterococcus faecalis LA3B-2,not-specified
Enterococcus faecalis R508,not-specified
Enterococcus faecalis R712,blood
Enterococcus faecalis RP2S-4,not-specified
Enterococcus faecalis S613,blood
Enterococcus faecalis SLO2C-1,not-specified
Enterococcus faecalis TUSoD Ef11,oral
Enterococcus faecalis TX0012,blood
Enterococcus faecalis TX0017,blood
Enterococcus faecalis TX0027,blood
Enterococcus faecalis TX0031,blood
Enterococcus faecalis TX0043,blood
Enterococcus faecalis TX0102,blood
Enterococcus faecalis TX0104,gastrointestinal-tract
Enterococcus faecalis TX0109,blood
Enterococcus faecalis TX0309A,not-specified
Enterococcus faecalis TX0309B,not-specified
Enterococcus faecalis TX0312,urogenital-tract
Enterococcus faecalis TX0411,not-specified
Enterococcus faecalis TX0470,not-specified
Enterococcus faecalis TX0630,blood
Enterococcus faecalis TX0635,urogenital-tract
Enterococcus faecalis TX0645,blood
Enterococcus faecalis TX0855,urogenital-tract
Enterococcus faecalis TX0860,blood
Enterococcus faecalis TX1302,gastrointestinal-tract
Enterococcus faecalis TX1322,gastrointestinal-tract
Enterococcus faecalis TX1341,gastrointestinal-tract
Enterococcus faecalis TX1342,gastrointestinal-tract
Enterococcus faecalis TX1346,gastrointestinal-tract
Enterococcus faecalis TX1467,gastrointestinal-tract
Enterococcus faecalis TX2134,gastrointestinal-tract
Enterococcus faecalis TX2137,gastrointestinal-tract
Enterococcus faecalis TX2141,blood
Enterococcus faecalis TX4000,not-specified
Enterococcus faecalis TX4244,gastrointestinal-tract
Enterococcus faecalis TX4248,lymph-nodes
Enterococcus faecalis UP2S-6,not-specified
Enterococcus faecalis VC1B-1,not-specified
Enterococcus faecalis WKS-26-18-2,not-specified
Enterococcus faecium 503,not-specified
Enterococcus faecium 504,not-specified
Enterococcus faecium 505,not-specified
Enterococcus faecium 506,not-specified
Enterococcus faecium 509,not-specified
Enterococcus faecium 510,not-specified
Enterococcus faecium 511,not-specified
Enterococcus faecium 513,not-specified
Enterococcus faecium 514,not-specified
Enterococcus faecium 515,not-specified
Enterococcus faecium Aus0004,blood
Enterococcus faecium C1904,blood
Enterococcus faecium C497,blood
Enterococcus faecium C621,not-specified
Enterococcus faecium DO,not-specified
Enterococcus faecium E1,blood
Enterococcus faecium E417,blood
Enterococcus faecium E422,urogenital-tract
Enterococcus faecium E745,not-specified
Enterococcus faecium ERV1,airways
Enterococcus faecium ERV102,oral
Enterococcus faecium ERV161,blood
Enterococcus faecium ERV165,gastrointestinal-tract
Enterococcus faecium ERV168,skin
Enterococcus faecium ERV26,airways
Enterococcus faecium ERV38,not-specified
Enterococcus faecium ERV69,not-specified
Enterococcus faecium ERV99,not-specified
Enterococcus faecium FB129-CNAB4,urogenital-tract
Enterococcus faecium LA4B-2,not-specified
Enterococcus faecium MJR8396B,urogenital-tract
Enterococcus faecium OC2A-1,not-specified
Enterococcus faecium P1123,blood
Enterococcus faecium P1137,skin
Enterococcus faecium P1139,urogenital-tract
Enterococcus faecium P1140,not-specified
Enterococcus faecium P1190,blood
Enterococcus faecium P1986,blood
Enterococcus faecium R446,blood
Enterococcus faecium R494,not-specified
Enterococcus faecium R496,not-specified
Enterococcus faecium R497,not-specified
Enterococcus faecium R499,not-specified
Enterococcus faecium R501,not-specified
Enterococcus faecium S447,urogenital-tract
Enterococcus faecium SB2C-2,not-specified
Enterococcus faecium SD1C-2,not-specified
Enterococcus faecium SD2A-2,not-specified
Enterococcus faecium SD3B-2,not-specified
Enterococcus faecium TX0082,blood
Enterococcus faecium TX0133A,blood
Enterococcus faecium TX0133a01,blood
Enterococcus faecium TX0133a04,blood
Enterococcus faecium TX0133B,blood
Enterococcus faecium TX0133C,blood
Enterococcus faecium TX1330,gastrointestinal-tract
Enterococcus faecium TX1337RF,gastrointestinal-tract
Enterococcus faecium V689,skin
Enterococcus faecium VRE001,blood
Enterococcus italicus DSM 15952,oral
Enterococcus saccharolyticus 30_1,gastrointestinal-tract
Enterococcus sp. HMSC034B11,gastrointestinal-tract
Enterococcus sp. HMSC035B04,urogenital-tract
Enterococcus sp. HMSC035C10,not-specified
Enterococcus sp. HMSC055G03,not-specified
Enterococcus sp. HMSC056C08,gastrointestinal-tract
Enterococcus sp. HMSC058D07,not-specified
Enterococcus sp. HMSC05C03,urogenital-tract
Enterococcus sp. HMSC060D07,urogenital-tract
Enterococcus sp. HMSC060D09,urogenital-tract
Enterococcus sp. HMSC060E05,not-specified
Enterococcus sp. HMSC061C05,not-specified
Enterococcus sp. HMSC063C12,oral
Enterococcus sp. HMSC063D12,not-specified
Enterococcus sp. HMSC063H10,gastrointestinal-tract
Enterococcus sp. HMSC064A12,oral
Enterococcus sp. HMSC065H03,not-specified
Enterococcus sp. HMSC065H12,not-specified
Enterococcus sp. HMSC066C04,not-specified
Enterococcus sp. HMSC067C01,not-specified
Enterococcus sp. HMSC069A01,not-specified
Enterococcus sp. HMSC070F12,urogenital-tract
Enterococcus sp. HMSC072D11,not-specified
Enterococcus sp. HMSC072F02,not-specified
Enterococcus sp. HMSC072F07,not-specified
Enterococcus sp. HMSC072G01,not-specified
Enterococcus sp. HMSC072H05,urogenital-tract
Enterococcus sp. HMSC073E07,not-specified
Enterococcus sp. HMSC073E08,not-specified
Enterococcus sp. HMSC073E09,not-specified
Enterococcus sp. HMSC074F07,urogenital-tract
Enterococcus sp. HMSC076D08,oral
Enterococcus sp. HMSC076E04,not-specified
Enterococcus sp. HMSC077E04,not-specified
Enterococcus sp. HMSC077E07,blood
Enterococcus sp. HMSC078F03,not-specified
Enterococcus sp. HMSC14A10,not-specified
Enterococcus sp. HMSC29A04,urogenital-tract
Enterococcus sp. HMSC34G12,bone
Eremococcus coleocola ACS-139-V-Col8,urogenital-tract
Erysipelatoclostridium ramosum DSM 1402,gastrointestinal-tract
Erysipelatoclostridium ramosum DSM 1402,gastrointestinal-tract
Erysipelothrix rhusiopathiae ATCC 19414,skin
Erysipelotrichaceae bacterium 21_3,gastrointestinal-tract
Erysipelotrichaceae bacterium 21_3,gastrointestinal-tract
Erysipelotrichaceae bacterium 2_2_44A,gastrointestinal-tract
Erysipelotrichaceae bacterium 2_2_44A,gastrointestinal-tract
Erysipelotrichaceae bacterium 3_1_53,gastrointestinal-tract
Erysipelotrichaceae bacterium 3_1_53,gastrointestinal-tract
Erysipelotrichaceae bacterium 5_2_54FAA,gastrointestinal-tract
Erysipelotrichaceae bacterium 5_2_54FAA,gastrointestinal-tract
Erysipelotrichaceae bacterium 6_1_45,gastrointestinal-tract
Erysipelotrichaceae bacterium 6_1_45,gastrointestinal-tract
Escherichia coli 101-1,not-specified
Escherichia coli 110957,not-specified
Escherichia coli 113290,not-specified
Escherichia coli 113302,not-specified
Escherichia coli 113303,not-specified
Escherichia coli 1827-70,not-specified
Escherichia coli 2362-75,not-specified
Escherichia coli 3431,not-specified
Escherichia coli 3_2_53FAA,gastrointestinal-tract
Escherichia coli 4_1_47FAA,not-specified
Escherichia coli 53638,not-specified
Escherichia coli 83972,urogenital-tract
Escherichia coli 907357,not-specified
Escherichia coli 907391,not-specified
Escherichia coli 907446,not-specified
Escherichia coli 907672,not-specified
Escherichia coli 907700,not-specified
Escherichia coli 907701,not-specified
Escherichia coli 907710,not-specified
Escherichia coli 907713,not-specified
Escherichia coli 907715,not-specified
Escherichia coli 907779,not-specified
Escherichia coli 907889,not-specified
Escherichia coli 907892,not-specified
Escherichia coli 908519,not-specified
Escherichia coli 908521,not-specified
Escherichia coli 908522,not-specified
Escherichia coli 908524,not-specified
Escherichia coli 908525,not-specified
Escherichia coli 908541,not-specified
Escherichia coli 908555,not-specified
Escherichia coli 908573,not-specified
Escherichia coli 908585,not-specified
Escherichia coli 908616,not-specified
Escherichia coli 908624,not-specified
Escherichia coli 908632,not-specified
Escherichia coli 908658,not-specified
Escherichia coli 908675,not-specified
Escherichia coli 908691,not-specified
Escherichia coli 909945-2,not-specified
Escherichia coli 910096-2,not-specified
Escherichia coli A25922R,not-specified
Escherichia coli A35218R,not-specified
Escherichia coli AA86,gastrointestinal-tract
Escherichia coli B088,not-specified
Escherichia coli B171,not-specified
Escherichia coli B185,not-specified
Escherichia coli B354,not-specified
Escherichia coli CFSAN004177,not-specified
Escherichia coli D9,gastrointestinal-tract
Escherichia coli E110019,not-specified
Escherichia coli E1167,not-specified
Escherichia coli E128010,gastrointestinal-tract
Escherichia coli E1520,not-specified
Escherichia coli E22,not-specified
Escherichia coli E482,not-specified
Escherichia coli EC4100B,not-specified
Escherichia coli EPECa12,gastrointestinal-tract
Escherichia coli EPECa14,gastrointestinal-tract
Escherichia coli F11,not-specified
Escherichia coli FVEC1302,not-specified
Escherichia coli FVEC1412,not-specified
Escherichia coli H120,not-specified
Escherichia coli H252,not-specified
Escherichia coli H263,not-specified
Escherichia coli H299,not-specified
Escherichia coli H489,not-specified
Escherichia coli H591,not-specified
Escherichia coli H736,not-specified
Escherichia coli JPH264,urogenital-tract
Escherichia coli JPH493,urogenital-tract
Escherichia coli LT-68,not-specified
Escherichia coli M605,not-specified
Escherichia coli M718,not-specified
Escherichia coli M863,not-specified
Escherichia coli MS 107-1,gastrointestinal-tract
Escherichia coli MS 110-3,gastrointestinal-tract
Escherichia coli MS 115-1,gastrointestinal-tract
Escherichia coli MS 116-1,gastrointestinal-tract
Escherichia coli MS 117-3,gastrointestinal-tract
Escherichia coli MS 119-7,gastrointestinal-tract
Escherichia coli MS 124-1,gastrointestinal-tract
Escherichia coli MS 145-7,gastrointestinal-tract
Escherichia coli MS 146-1,gastrointestinal-tract
Escherichia coli MS 153-1,gastrointestinal-tract
Escherichia coli MS 16-3,gastrointestinal-tract
Escherichia coli MS 175-1,gastrointestinal-tract
Escherichia coli MS 182-1,gastrointestinal-tract
Escherichia coli MS 185-1,gastrointestinal-tract
Escherichia coli MS 187-1,gastrointestinal-tract
Escherichia coli MS 196-1,gastrointestinal-tract
Escherichia coli MS 198-1,gastrointestinal-tract
Escherichia coli MS 200-1,gastrointestinal-tract
Escherichia coli MS 21-1,gastrointestinal-tract
Escherichia coli MS 45-1,gastrointestinal-tract
Escherichia coli MS 57-2,gastrointestinal-tract
Escherichia coli MS 60-1,gastrointestinal-tract
Escherichia coli MS 69-1,gastrointestinal-tract
Escherichia coli MS 78-1,gastrointestinal-tract
Escherichia coli MS 79-10,gastrointestinal-tract
Escherichia coli MS 84-1,gastrointestinal-tract
Escherichia coli MS 85-1,gastrointestinal-tract
Escherichia coli NC101,not-specified
Escherichia coli O157:H- str. H 2687,not-specified
Escherichia coli O157:H7 str. 1044,not-specified
Escherichia coli O157:H7 str. 1125,not-specified
Escherichia coli O157:H7 str. EC4042,not-specified
Escherichia coli O157:H7 str. EC4045,not-specified
Escherichia coli O157:H7 str. EC4076,not-specified
Escherichia coli O157:H7 str. EC4113,not-specified
Escherichia coli O157:H7 str. EC4196,not-specified
Escherichia coli O157:H7 str. EC4206,not-specified
Escherichia coli O157:H7 str. EC4401,not-specified
Escherichia coli O157:H7 str. EC4486,not-specified
Escherichia coli O157:H7 str. EC4501,not-specified
Escherichia coli O157:H7 str. EC508,gastrointestinal-tract
Escherichia coli O157:H7 str. EC869,not-specified
Escherichia coli O157:H7 str. G5101,not-specified
Escherichia coli O157:H7 str. LSU-61,not-specified
Escherichia coli O157:H7 str. TW14588,not-specified
Escherichia coli O55:H7 str. 3256-97,not-specified
Escherichia coli O55:H7 str. USDA 5905,not-specified
Escherichia coli OK1180,not-specified
Escherichia coli OK1357,not-specified
Escherichia coli PCN033,not-specified
Escherichia coli RN587/1,not-specified
Escherichia coli SE11,not-specified
Escherichia coli STEC_7v,not-specified
Escherichia coli TA007,not-specified
Escherichia coli TA206,not-specified
Escherichia coli TA271,not-specified
Escherichia coli TA280,not-specified
Escherichia coli TW10509,not-specified
Escherichia coli UPEC 26-1,urogenital-tract
Escherichia coli WV_060327,not-specified
Escherichia coli Y5,urogenital-tract
Escherichia sp. 1_1_43,gastrointestinal-tract
Escherichia sp. 4_1_40B,gastrointestinal-tract
Eubacterium brachy ATCC 33089,not-specified
Eubacterium brachy ATCC 33089,not-specified
Eubacterium infirmum F0142,oral
Eubacterium nodatum ATCC 33099,not-specified
Eubacterium ramulus ATCC 29099,gastrointestinal-tract
Eubacterium ramulus ATCC 29099,gastrointestinal-tract
Eubacterium saphenum ATCC 49989,oral
Eubacterium sp. 3_1_31,gastrointestinal-tract
Eubacterium sp. 3_1_31,gastrointestinal-tract
Eubacterium sulci ATCC 35585,not-specified
Eubacterium ventriosum ATCC 27560,"not-specified, gastrointestinal-tract"
Eubacterium ventriosum ATCC 27560,gastrointestinal-tract
Exophiala dermatitidis NIH/UT8656,not-specified
Facklamia hominis ACS-120-V-Sch10,not-specified
Facklamia hominis CCUG 36813,skin
Facklamia ignava CCUG 37419,blood
Facklamia languida CCUG 37842,blood
Facklamia sp. HMSC062C11,not-specified
Facklamia sp. HMSC062C11,not-specified
Faecalibacterium cf. KLE1255,gastrointestinal-tract
Faecalibacterium cf. prausnitzii KLE1255,gastrointestinal-tract
Faecalibacterium prausnitzii A2-165,gastrointestinal-tract
Faecalibacterium prausnitzii M21/2,gastrointestinal-tract
Faecalitalea cylindroides ATCC 27803,gastrointestinal-tract
Filifactor alocis ATCC 35896,oral
Finegoldia magna ACS-171-V-Col3,urogenital-tract
Finegoldia magna ATCC 53516,urogenital-tract
Finegoldia magna BVS033A4,urogenital-tract
Finegoldia magna GED7760A,urogenital-tract
Finegoldia magna SY403409CC001050417,urogenital-tract
Flavonifractor plautii ATCC 29863,gastrointestinal-tract
Francisella tularensis novicida PA10-7858,blood
Fusobacterium equinum CMW8396,urogenital-tract
Fusobacterium gonidiaformans 3-1-5R,gastrointestinal-tract
Fusobacterium gonidiaformans 3_1_5R,gastrointestinal-tract
Fusobacterium gonidiaformans ATCC 25563,gastrointestinal-tract
Fusobacterium mortiferum ATCC 9817,gastrointestinal-tract
Fusobacterium necrophorum D12,gastrointestinal-tract
Fusobacterium necrophorum funduliforme 1_1_36S,not-specified
Fusobacterium necrophorum funduliforme ATCC 51357,oral
Fusobacterium necrophorum funduliforme ATCC 51357,oral
Fusobacterium necrophorum funduliforme Fnf 1007,liver
Fusobacterium nucleatum 13_3C,not-specified
Fusobacterium nucleatum AB1,not-specified
Fusobacterium nucleatum animalis 11_3_2,not-specified
Fusobacterium nucleatum animalis 21_1A,gastrointestinal-tract
Fusobacterium nucleatum animalis 3_1_33,gastrointestinal-tract
Fusobacterium nucleatum animalis 4_8,not-specified
Fusobacterium nucleatum animalis 7_1,gastrointestinal-tract
Fusobacterium nucleatum animalis 7_1,gastrointestinal-tract
Fusobacterium nucleatum animalis ATCC 51191,urogenital-tract
Fusobacterium nucleatum animalis D11,gastrointestinal-tract
Fusobacterium nucleatum animalis F0419,not-specified
Fusobacterium nucleatum animalis OT 420,oral
Fusobacterium nucleatum CTI-1,not-specified
Fusobacterium nucleatum CTI-2,not-specified
Fusobacterium nucleatum CTI-3,not-specified
Fusobacterium nucleatum CTI-5,not-specified
Fusobacterium nucleatum CTI-6,not-specified
Fusobacterium nucleatum CTI-7,not-specified
Fusobacterium nucleatum MJR7757B,urogenital-tract
Fusobacterium nucleatum nucleatum ATCC 23726,urogenital-tract
Fusobacterium nucleatum polymorphum F0401,oral
Fusobacterium nucleatum vincentii 3_1_27,gastrointestinal-tract
Fusobacterium nucleatum vincentii 3_1_36A2,gastrointestinal-tract
Fusobacterium nucleatum vincentii 4_1_13,gastrointestinal-tract
Fusobacterium periodonticum 1_1_41FAA,gastrointestinal-tract
Fusobacterium periodonticum 2_1_31,gastrointestinal-tract
Fusobacterium periodonticum ATCC 33693,oral
Fusobacterium periodonticum D10,oral
Fusobacterium sp. CM1,not-specified
Fusobacterium sp. CM21,not-specified
Fusobacterium sp. CM22,not-specified
Fusobacterium sp. HMSC064B11,not-specified
Fusobacterium sp. HMSC064B12,not-specified
Fusobacterium sp. HMSC065F01,not-specified
Fusobacterium sp. HMSC073F01,not-specified
Fusobacterium sp. HMSC073F01,not-specified
Fusobacterium sp. OBRC1,not-specified
Fusobacterium sp. oral taxon 370 F0437,oral
Fusobacterium ulcerans 12-1B,gastrointestinal-tract
Fusobacterium ulcerans 12_1B,not-specified
Fusobacterium ulcerans ATCC 49185,gastrointestinal-tract
Fusobacterium varium ATCC 27725,gastrointestinal-tract
Gardnerella vaginalis 315-A,urogenital-tract
Gardnerella vaginalis 409-05,urogenital-tract
Gardnerella vaginalis ATCC 14019,not-specified
Gardnerella vaginalis CMW7778B,urogenital-tract
Gardnerella vaginalis GED7275B,urogenital-tract
Gardnerella vaginalis GED7760B,urogenital-tract
Gardnerella vaginalis HMP9231,urogenital-tract
Gardnerella vaginalis JCP7275,urogenital-tract
Gardnerella vaginalis JCP7276,urogenital-tract
Gardnerella vaginalis JCP7659,urogenital-tract
Gardnerella vaginalis JCP7672,urogenital-tract
Gardnerella vaginalis JCP7719,urogenital-tract
Gardnerella vaginalis JCP8017A,urogenital-tract
Gardnerella vaginalis JCP8017B,urogenital-tract
Gardnerella vaginalis JCP8066,urogenital-tract
Gardnerella vaginalis JCP8070,urogenital-tract
Gardnerella vaginalis JCP8108,urogenital-tract
Gardnerella vaginalis JCP8151A,urogenital-tract
Gardnerella vaginalis JCP8151B,urogenital-tract
Gardnerella vaginalis JCP8481A,urogenital-tract
Gardnerella vaginalis JCP8481B,urogenital-tract
Gardnerella vaginalis JCP8522,urogenital-tract
Gardnerella vaginalis PSS_7772B,urogenital-tract
Gemella asaccharolytica KA00071,urogenital-tract
Gemella bergeri ATCC 700627,blood
Gemella haemolysans ATCC 10379,oral
Gemella haemolysans DNF01167,urogenital-tract
Gemella haemolysans M341,not-specified
Gemella morbillorum M424,not-specified
Gemella sanguinis M325,not-specified
Geminocystis sp. NIES-3709,not-specified
Globicatella sp. HMSC072A10,not-specified
Granulibacter bethesdensis NIH1.4,not-specified
Granulibacter bethesdensis NIH5.1,not-specified
Granulibacter bethesdensis NIH6.1,not-specified
Granulibacter bethesdensis NIH7.1,not-specified
Granulibacter bethesdensis NIH8.1,not-specified
