ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
227,Cladosporium sp,Capnodiales,Dothideomycetes,Ascomycota,Eukarya,no,0.36,Extreme
228,Cletocamptus (Mastigodiaptomus) albuquerquensis,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,"2% - 12.5%, 12.6%",Moderate 
229,Cletocamptus retrogressus,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,"2% - 7.4%, 19.8% - 36%",Extreme
230,Cocconeis placentula,Achnanthales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 15%,Moderate 
231,Cocconeis scutellum,Achnanthales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 15%,Moderate 
232,Cocconeis pediculus,Achnanthales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
233,Cocconeis stauroneiformis,Achnanthales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
234,Monosiga spp,not assigned,not assigned,Opisthokonta,Eukarya,no,17% - 23%,Extreme
235,Chondylostoma sp,Heterotrichida,Polyhymenophora,Ciliophora,Eukarya,no,22% - 31.1%,Extreme
236,Ctenocladus circinnatus,Chlorellales,Trebouxiophyceae,Chlorophyta,Eukarya,no,"5% - 10%, min 20%",Moderate 
237,Ochlerotatus detritus (aedes detritus),Diptera,Insecta,Arthropoda,Eukarya,no,0% - 6%,Moderate 
238,(Ochlerotatus taeniorhynchus) Aedes taenionrhynchus,Diptera,Insecta,Arthropoda,Eukarya,no,150% SW (sea water) or 52.5ppt or 5.25%,Moderate 
239,Ochlerotatus caspius,Diptera,Insecta,Arthropoda,Eukarya,no,1% - 3%,Slight
242,Megacyclops viridis,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.3% - 2%,Slight
243,Metacyclops arnaudi,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,0.6% - 24%,Extreme
244,Eucyclops dumonti,Cyclopidae,Maxillopoda,Arthropoda,Eukarya,no,0.3% - 1.1%,Slight
246,Thermocyclops kawamurai,Cyclopoida,Maxillopoda,Arthropoda,Eukarya,no,"0.4% - 1.5%, 11.8%",Moderate
247,Metacyclops minutus,Cyclopoida,not assigned,Arthropoda,Eukarya,no,6.00E-03,Slight
248,Metacyclops gracilis,Cyclopoida,not assigned,Arthropoda,Eukarya,no,2.10E-02,Slight
249,Cyclops mongolensis,Cyclopoida,not assigned,Arthropoda,Eukarya,no,3.00E-03,Slight
250,Microcyclops varicans,Cyclopoida,not assigned,Arthropoda,Eukarya,no,3.00E-03,Slight
251,Ruppia tuberosa,Alismatales,Liliopsida,Streptophyta,Eukarya,no,1% - 10.8% - 23%,Moderate 
252,Cyprideis torosa,Podocopida,Ostracoda,Arthropoda,Eukarya,no,1.1% - 1.7%,Slight
253,Eucypris inflata,Podocopida,Ostracoda,Arthropoda,Eukarya,no,"32.5%, 11%, 1.1% - 1.7%",Extreme
254,Australocypris insularis,Podocopida,Ostracoda,Arthropoda,Eukarya,no,2.1% - 12.7%,Moderate 
255,Diacypris whitei,Podocopida,Ostracoda,Arthropoda,Eukarya,no,"2.8% - 14.9%, 9.2% - 14.6%",Moderate 
256,Australocypris bennetti,Podocopida,Ostracoda,Arthropoda,Eukarya,no,3.5% - 24%,Extreme
257,Diacypris fodiens,Podocopida,Ostracoda,Arthropoda,Eukarya,no,4.8% - 16%,Moderate 
258,Diacypris phoxe,Podocopida,Ostracoda,Arthropoda,Eukarya,no,6.1% - 7.5%,Moderate 
259,Reticypris pinguis,Podocopida,Ostracoda,Arthropoda,Eukarya,no,4% - 12%,Moderate 
260,Cyprinodon macularius,Cyprinodontiformes,Actinopteri,Chordata,Eukarya,no,maximum 9%,Moderate 
261,Cyprinodon atrorus,Cyprinodontiformes,Actinopteri,Chordata,Eukarya,no,tolerrated 9.5%,Moderate 
262,Cyprinodon macularius eggs,Cyprinodontiformes,Actinopteri,Chordata,Eukarya,no,up to 7%,Moderate 
263,Aphanius dispar,Cyprinodontiformes,Actinopteri,Chordata,Eukarya,no,isosmotic point 1.7%,Slight
264,Eocyzicus davidi,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,6.70E-03,Slight
265,Ceriodaphnia reticulata,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,3.40E-03,Slight
266,Daphniopsis (Daphnia) similis,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0% - 10%,Moderate 
267,Daphniopsis (daphnia) pusilla,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,"0.2% - 7.1%, 4.1% - 8.1%",Moderate 
268,Daphnia thomsoni,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.01,Slight
269,Daphnia atkinsoni,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.02,Slight
270,Daphnia carinata,Diplostraca,Branchiopoda,Arthropoda,Eukarya,mitochondrial genome,0.3% - 0.5%,Slight
271,Daphnia magna,Diplostraca,Branchiopoda,Arthropoda,Eukarya,shotgun,0.38% - 1.3%,Slight
272,Daphnia mediterranea,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.8% - 3.1%,Slight
273,Daphnia longispina var. turbinata,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,8.70E-03,Slight
274,Daphnia menucoensis,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,"2.4%, 1% - 1.5%",Slight
275,Debaryomyces hansenii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,complete genome,0.24,Extreme
276,Debaryomyces tyrocola,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.15,Moderate 
277,Debaryomyces subglobosus,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,22% - 24%,Moderate 
278,Debaryomyces kloeckeri,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,22% - 24%,Extreme
279,Schwanniomyces (Pichia) etchellsii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.2,Moderate 
280,Meyerozyma guilliermondii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,shotgun,0.24,Extreme 
281,Debaryomyces membranaefactiens var hollandicus,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.24,Extreme
282,Candida tropicalis,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,shotgun,0.18,Moderate 
283,Candida parapsilosis,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,shotgun,0.2,Moderate 
284,Arctodiaptomus (recti)spinosus,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.4% - 6.1%,Moderate 
285,Arctodiaptomus salinus,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,"0.3% - 2.95%, 13%, 28%, 30%",Extreme
286,Metadiaptomus asiaticus,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.4% - 6.1%,Moderate
287,Diaptomus (Leptodiaptomus) connexus,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,"0.9% - 8.2%, >5%",Moderate 
288,Arctodiaptomus wierzjeskii,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.5% - 0.6%,Slight
289,Hemidiaptomus ignatovi,Calanoida,Maxillopoda,Arthropoda,Eukarya,no,0.6% - 0.8%,Slight
290,Dunaliella viridis,Chlamydomonadales,Chlorophyceae,Chlorophyta,Eukarya,mitochondrial genome,"max 24.8% (optimum 5.8% - 8.9%), 19% - 28%",Moderate 
291,Dunaliella salina,Chlamydomonadales,Chlorophyceae,Chlorophyta,Eukarya,no,0.265,Extreme
292,Dunaliella parva,Chlamydomonadales,Chlorophyceae,Chlorophyta,Eukarya,no,8.70E-02,Moderate 
293,Necterosoma penicillatum (adults),Coleoptera,Insecta,Arthropoda,Eukarya,no,"0% - 13%, 0.5% - 13%",Moderate 
294,Necterosoma penicillatum (lavrae),Coleoptera,Insecta,Arthropoda,Eukarya,no,7.70E-02,Moderate 
295,Rhopalophrya salina,Haptorida,Gymnostomatea,Ciliophora,Eukarya,no,17% - 33.2%,Extreme
296,Ephydra auripes,Diptera,Insecta,Arthropoda,Eukarya,no,<2.5%,Moderate 
297,Ephydra gracillis,Diptera,Insecta,Arthropoda,Eukarya,no,>2.5%,Moderate 
298,Ephydra hians,Diptera,Insecta,Arthropoda,Eukarya,no,>2.5%,Moderate 
299,Ephydra riparia lavrae,Diptera,Insecta,Arthropoda,Eukarya,no,0.08,Moderate 
300,Ephydra cinerea,Diptera,Insecta,Arthropoda,Eukarya,no,0.3,Extreme
301,Ephydra packardi,Diptera,Insecta,Arthropoda,Eukarya,no,4% - 5%,Moderate 
302,Ephydra macellaria,Diptera,Insecta,Arthropoda,Eukarya,no,optimum 18%,Moderate 
303,Euplotes sp,Euplotida,Hypotrichea,Ciliophora,Eukarya,no,0.29,Extreme
304,Fabrea salina,Heterotrichida,Heterotrichea,Ciliophora,Eukarya,no,0.165,Moderate 
305,Ptygura melicerta,Flosculariacea,Monogononta,Rotifera,Eukarya,no,5.57E-02,Moderate 
306,Frontonia marina,Peniculida,Oligohymenophorea,Ciliophora,Eukarya,no,">8%, 0.05% - 18%",Moderate 
307,Lucania parva,Cyprinodontiformes,Actinopteri,Chordata,Eukarya,no,"2% - 4%, 6%",Moderate 
308,Glomus ethunicatus,Glomerales,Glomeromycetes,Glomeromycota,Eukarya,no,>=10%,Moderate 
309,Glomus mosseae,Glomerales,Glomeromycetes,Glomeromycota,Eukarya,no,>=11%,Moderate 
310,Glomus fasciculatum,Glomerales,Glomeromycetes,Glomeromycota,Eukarya,no,>=13%,Moderate 
311,Grammatophora oceanica,Striatellales,Fragilariophyceae,Bacillariophyta,Eukarya,no,up to 11.9%,Moderate 
312,Halteria grandinella,Sporadotrichida,Spirotrichea,Ciliophora,Eukarya,no,"8% - 18%, 5% - 10% - 18%",Moderate 
313,Amoeba limax,Amoebida,Lobosa,Protozoa,Eukarya,no,0.23,Extreme
314,Hexarthra intermedia,Flosculariacea,Monogononta,Rotifera,Eukarya,no,0.06,Moderate 
315,Hexarthra fennica,Flosculariacea,Monogononta,Rotifera,Eukarya,no,0.5% - 7.5%,Moderate 
316,Hexarthra polyodonta,Flosculariacea,Monogononta,Rotifera,Eukarya,no,2.5% - 8%,Moderate 
317,Berosus (Enoplurus) munitipennis (larvae),Coleoptera,Insecta,Arthropoda,Eukarya,no,0.06,Moderate 
318,Enochrus blazquezae,Coleoptera,Insecta,Arthropoda,Eukarya,no,mean 4.56% max 6.8%,Moderate 
319,Enochrus risii,Coleoptera,Insecta,Arthropoda,Eukarya,no,mean 4.85% max 5.1%,Moderate 
320,Enochrus falcarius,Coleoptera,Insecta,Arthropoda,Eukarya,no,mean 5.5% max 9.7%,Moderate 
321,Archaphanostoma (Mecynostomum) agile,Acoela,not assigned,Xenacoelomorpha,Eukarya,no,8% - 9%,Moderate 
322,Lecane grandis,Ploima,Monogononta,Rotifera,Eukarya,no,0.18,Moderate 
323,Leptodora kindtii,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,4.60E-03,Slight
324,Litonotus lamella,Pleurostomatida,Gymnostomatea,Ciliophora,Eukarya,no,2.9% - 37%,Extreme
325,Macrothrix hirsuticornis,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.4% - 0.9%,Slight
326,Macrothrix laticornis,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.3% - 0.4%,Slight
327,Mastogloia erythraea,Mastogloiales,Bacillariophyceae,Bacillariophyta,Eukarya,no,6.40E-02,Moderate 
328,Mastogloia pumila,Mastogloiales,Bacillariophyceae,Bacillariophyta,Eukarya,no,6.40E-02,Moderate 
329,Mastogloia baldjikiana,Mastogloiales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
330,Metacystis truncata,Prostomatida,Prostomatea,Ciliophora,Eukarya,no,>8%,Moderate 
331,Palmarella salina,Amophorida,Spirotrichea,Ciliophora,Eukarya,no,0.278,Extreme
332,Metschnikowia bicuspidata var. australis,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,>=12%,Moderate 
333,Candida mogii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,>=18%,Moderate 
334,Schizopera clandestina,Harpacticoida,Maxillopoda,Arthropoda,Eukarya,no,5.30E-02,Moderate 
335,Moina salina,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.5% - 6.1%,Moderate 
336,Moina hutchinsoni,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,2% - 5%,Moderate 
337,Moina brachiata,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.4% - 1.3%,Slight
338,Moina macrocopa,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.6% - 3.2%,Slight
339,Moina mongolica,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.7% - 2.8%,Slight
340,Moina belli,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,1.40E-02,Slight
341,Moina eugeniae,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,"3.1%, 0.5% - 2%",Slight
342,Trimmatostroma salinum,Capnodiales,Dothideomycetes,Ascomycota,Eukarya,no,3% - 35%,Extreme
343,Nassula sp,Nassulida,Nassophorea,Ciliophora,Eukarya,no,5% - 21.3%,Moderate 
344,Navicula cincta,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,1% - 10%,Moderate 
345,Navicula complanata,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,3% - 10%,Moderate 
346,Navicula ramosissima,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,3% - 17%,Moderate 
347,Navicula avenacea,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,6.40E-02,Moderate 
348,Navicula crucialis,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,7.5% - 12.5%,Moderate 
349,Navicula longirostris,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,8.20E-02,Moderate 
350,Navicula mollis,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,9.26E-02,Moderate 
351,Navicula ramosissima,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 15%,Moderate 
352,Gyrosigma balticum,Naviculales,Bacillariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
353,Fusarium sp,Hypocreales,Sordariomycetes,Ascomycota,Eukarya,no,20% - 25%,Extreme
354,Phallocryptus spinosa,Anostraca,Branchiopoda,Arthropoda,Eukarya,no,3% - 30%,Extreme
355,Candida (Mycoderma) vini,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.21,Moderate 
356,Hortaea (exophiala) werneckii,Dothideales,Dothideomycetes,Ascomycota,Eukarya,shotgun,"0% - 29.8%, satd",Extreme 
357,Phaeotheca triangularis,not assigned,not assigned,Ascomycota,Eukarya,no,22% - 28%,Extreme
358,Rhodotorula glutinis,Sporidiobolales,Microbotryomycetes,Basidiomycota,Eukarya,no,0.23,Extreme
359,Rhodotorula mucilaginosa (Rhodotorula rubra),Sporidiobolales,Microbotryomycetes,Basidiomycota,Eukarya,shotgun,>=16%,Moderate 
360,Daphnia triquetra,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.5% - 1%,Slight
361,Torulopsis colliculosa,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.13,Moderate 
362,Torulopsis dattila,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.15,Moderate 
363,Torulopsis candida,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.18,Moderate 
364,Torulopsis versatilis,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.18,Moderate 
365,Torulopsis etchellsii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.21,Extreme
366,Torulopsis famata (Candida famata),Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,">=12%, 19%",Moderate 
367,Torulopsis sp,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,>=18%,Moderate 
368,Wallemia sebi,Wallemiales,Wallemiomycetes,Basidiomycota,Eukarya,no,satd,Extreme
369,Wallemia ichthyophaga,Wallemiales,Wallemiomycetes,Basidiomycota,Eukarya,shotgun,min 10%,Moderate 
370,Galaziella murae,Anostraca,Branchiopoda,not assigned,Eukarya,no,0.65% - 0.82%,Slight
371,Staurophora caljonii,Cymbellales,Bacillariophyceae,Bacillariophyta,Eukarya,no,6.00E-03,Slight
372,Cladotricha sigmoidea,Stichotrichida,Hypotrichea,Ciliophora,Eukarya,no,<20%,Moderate 
373,Tachysoma sp,Sporadotrichida,Spirotrichea,Ciliophora,Eukarya,no,8% - 18%,Moderate 
374,Parauronema virginianum,Philasterida,Oligohymenophorea,Ciliophora,Eukarya,no,8% - 18%,Moderate 
375,Wickerhamomyces (Willia) sp,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.21,Moderate 
376,Mycoderma decolorans,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.15,Moderate 
377,Pichia (Hansenula) sp,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,>=15%,Moderate 
378,Pichia membranaefactiens,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,15% (food brines) 24% (marine),Moderate 
379,Chilophrya (Prorodon) utahensis,Prorodontida,Prostomatea,Ciliophora,Eukarya,no,0.23,Extreme
380,Drechslera sp,Pleosporales,Dothideomycetes,Ascomycota,Eukarya,no,>=5%,Moderate 
381,Ulocladium sp,Pleosporales,Dothideomycetes,Ascomycota,Eukarya,no,>=5%,Moderate 
382,Platichthys flesus,Pleuronectiformes,Actinopteri,Chordata,Eukarya,no,1.1% - 16%,Moderate 
383,Podophrya sp,Suctorida,Kinetofragminophora,Ciliophora,Eukarya,no,16.5% - 23.2%,Extreme
384,Coxiella exsposita,Littorinimorpha,Gastropoda,Mollusca,Eukarya,no,0.5% - 13%,Moderate 
385,Coxiella striatula,Littorinimorpha,Gastropoda,Mollusca,Eukarya,no,0.5% - 12%,Moderate 
386,Coxiella glabra,Littorinimorpha,Gastropoda,Mollusca,Eukarya,no,0.8% - 12.5%,Moderate 
387,Coxiella gilesi,Littorinimorpha,Gastropoda,Mollusca,Eukarya,no,2% - 6%,Moderate 
388,Coxiella glauerti,Littorinimorpha,Gastropoda,Mollusca,Eukarya,no,8.80E-02,Moderate 
389,Prorodon (chiliophrya) utahensis,Prorodontida,Prostomatea,Ciliophora ,Eukarya,no,0.278,Extreme
390,Phyllomitus sp,Protozoa,Protozoa,Protozoa,Eukarya,no,27.8% - saturated,Extreme
391,Pseudocohnilembus marinus,Philasterida,Oligohymenophorea,Ciliophora,Eukarya,no,2.9% - 37%,Extreme
392,Rhopalodia gibberula,Rhopalodiales,Bacillariophyceae,Bacillariophyta,Eukarya,no,0.1% - 1%,Slight
393,Uroleptus packii,Urostylida,Hypotrichea,Ciliophora,Eukarya,no,20% - 26%,Extreme
394,Saccharomyces cerevisiae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,complete genome,0.12,Moderate 
395,Saccharomyces heterogenicus,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.23,Extreme
396,Zygosaccharomyces (Saccharomyces) rouxii,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,complete genome,">=18%, 20-22%",Extreme
397,Zygosaccharomyces (Saccharomyces) mellis,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,0.23,Extreme
398,Zygosaccharomyces sp,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya,no,>=15%,Moderate 
399,Sarcobatus vermiculatus,Caryophyllales,Magnoliopsida,Tracheophyta,Eukarya,no,9.82E-02,Moderate 
400,Haloniscus searlei,Isopoda,Malacostraca,Arthropoda,Eukarya,no,0.5% - 13%,Moderate 
401,Diaphanosoma mongolianum,Diplostraca,Branchiopoda,Arthropoda,Eukarya,no,0.46% - 0.64%,Slight
402,Stephanopogon apogon,Pseudociliatida,Percolatea,Percolozoa,Eukarya,no,8% - 18%,Moderate 
403,Surirella fastuosa,Surirellales,Bacillariophyceae,Bacillariophyta,Eukarya,no,6.40E-02,Moderate 
404,Tetramitus cosmopolitus,Schizopyrenida,Heterolobosea,Percolozoa,Eukarya,no,12% - saturation,Extreme
405,Tetramitus salinus,Schizopyrenida,Heterolobosea,Percolozoa,Eukarya,no,up to 22.3%,Extreme 
406,Tetramitus sp,Schizopyrenida,Heterolobosea,Percolozoa,Eukarya,no,up to saturated,Extreme
407,Labyrinthuloides minuta,Thraustochytriida,Labyrinthulea,Bigyra,Eukarya,no,0.12,Moderate 
408,Trachelocerca conifer,Protostomatida,Karyorelictea,Ciliophora,Eukarya,no,16.5% - 22.3%,Extreme
409,Enchelyodon trepida,Haptorida,Litostomatea,Ciliophora,Eukarya,no,8% - 18%,Moderate 
410,Triops numidicus,Notostraca,Branchiopoda,Arthropoda,Eukarya,no,0.5% - 0.67%,Slight
411,Tabularia fasciculata,Licmophorales,Fragilariophyceae,Bacillariophyta,Eukarya,no,4.2% - 15%,Moderate 
412,Opephora martyi,Licmophorales,Fragilariophyceae,Bacillariophyta,Eukarya,no,up to 11.9%,Moderate 
413,Synedra crystallina,Licmophorales,Fragilariophyceae,Bacillariophyta,Eukarya,no,up to 11.9%,Moderate 
414,Synedra laevigata var. hyalina,Licmophorales,Fragilariophyceae,Bacillariophyta,Eukarya,no,up to 6.4%,Moderate 
415,Ulva torta,Ulvales,Ulvophyceae,Chlorophyta,Eukarya,no,polyhalobes (ph),Extreme
416,Uronema marinum,Philasterida,Oligohymenophorea,Ciliophora,Eukarya,no,15% - 17.3%,Moderate 
417,Uronema sp,Philasterida,Oligohymenophorea,Ciliophora,Eukarya,no,15% - 17.3%,Moderate 
418,Uronema nigricans,Scuticociliatida,Oligohymenophorea,Ciliophora,Eukarya,no,hypersaline 0.05% - 18%,Moderate 
419,Uronychia transfuga,Euplotida,Spirotrichea,Ciliophora,Eukarya,no,9.60E-02,Moderate 
420,Holosticha diademata,Urostylida,Spirotrichea,Ciliophora,Eukarya,no,2.9% - 37%,Moderate 
421,Nagleria sp,Amoebida,Lobosa,Cercozoa,Eukarya,no,up to saturated,Extreme
422,Heteramoeba sp,Schizopyrenida,Heterolobosea,Percolozoa,Eukarya,no,12.5% - 21%,Moderate 
423,Vorticella nebulifera,Peritrichida,Oligohymenophorea,Ciliophora,Eukarya,no,0% - 8%,Moderate 
424,Zoothamnium mucedo,Peritrichida,Oligohymenophorea,Ciliophora,Eukarya,no,6% - 9%,Moderate 
425,Ilyocypris biplicata,Podocopida,Ostracoda,Arthropoda,Eukarya,no,>15%,Moderate
426,Leucocythere mirabilis,Podocopida,Ostracoda,Arthropoda,Eukarya,no,>15%,Moderate
427,Halococcus sediminicola,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"15%–30% (optimum, 20%)",Extreme
428,Halalkalicoccus tibetensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,0.1986,Moderate
431,Halalkalicoccus paucihalophilus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 6%, optimum 20-25 %, max 35%",Extreme
432,Haladaptatus paucihalophilus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"5% - 30%, optimum 15% - 18%",Moderate
433,Haladaptatus pallidirubidus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,6% - 35% (optimum 18%),Moderate
434,Haladaptatus litoreus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"10% - 30%, optimum 20%",Extreme
435,Haladaptatus cibarius,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"10% - 30%, optimum 15%",Extreme
436,Halanaeroarchaeum sulfurireducens,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,complete genome,17.5% - 29.2%,Extreme
437,Halapricum salinum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30% (optimum 20%),Extreme
438,Halarchaeum grantii,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,15% - 27% (optimum 24%),Extreme
439,Halarchaeum acidiphilum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 17.53%,Moderate
440,Halarchaeum nitratireducens,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,9% - 30% (optimum 18% - 21%),Extreme
441,Halarchaeum rubridurum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,9% - 30% (optimum 18%),Extreme
442,Halarchaeum salinum,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,12% - 30 % (optimum 18 %),Extreme
443,Halarchaeum solikamskense,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,15% - 30% (optimum 20% – 22%) ,Extreme
444,Haloarchaeobius amylolyticus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,5.2% - 28% (optimum 18.1%),Extreme
445,Haloarchaeobius baliensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,0.152,Moderate
446,Haloarchaeobius iranensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 11.6%, optimum 20.4%",Extreme
447,Haloarchaeobius litoreus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 28% (optimum 15.1%),Extreme
448,Haloarchaeobius salinus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 28% (optimum 11.6%),Extreme
450,Haloarcula salaria,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,20% - 25%,Extreme
451,Haloarcula tradensis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,20% - 25%,Extreme
452,Halobaculum magnesiiphilum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"min 5%, optimum 9% - 12%",Moderate
453,Halobellus clavatus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,3% - 10% (optimum 15%),Moderate
454,Halorientalis regularis,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30% (optimum 18% - 20%),Extreme
455,Halobellus inordinatus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,min 10%,Moderate
456,Halobellus limi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,8.1% - 29.8% (optimum 15.1% - 22.7%),Extreme
457,Halobellus salinus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,15.1% - 29.8% (optimum 19.8%),Extreme
458,Halobellus litoreus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,min 5.2%,Moderate
459,Halobellus ramosii,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,12.5% - 30% (optimum 20%),Moderate
460,Halobellus rarus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,min 12.2%,Moderate
461,Halobellus rufus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,10%-30 % (optimum 15 %) ,Extreme
462,Halobiforma haloterrestris,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,"min 12.8% - satur, optimum 20%",Extreme
463,Halobiforma lacisalsi,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 9.9% (optimum 15.1% - 25.1%),Extreme
464,Halobiforma nitratireducens,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 14.6% (optimum 20.4%),Extreme
465,Halocalculus aciditolerans,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,12% - 30% (optimum 18%),Extreme
466,Halococcus agarilyticus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,shotgun,24% - 30% (optimum 27%),Extreme
467,Halococcus dombrowskii,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,0.1,Moderate
